"MODEL_CLOSE_ST2"
	"2025-11-"	"9 16:24:41"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"request_CONTACT_MID_F_KALKER"	"User Result"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.TIME"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U1"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U2"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U3"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U4"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U5"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U6"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U7"	".MODEL_CLOSE_ST2.Last_Run.request_CONTACT_MID_F_KALKER.U8"
0.000000e+00	0.000000e+00	2.644108e-01	-4.774392e+00	4.605204e-03	0.000000e+00	-2.485402e+00	-1.377117e-01	-7.004813e-02
3.000000e-04	0.000000e+00	2.659807e-01	-4.802740e+00	4.632548e-03	0.000000e+00	-2.505077e+00	-1.388019e-01	-7.065818e-02
1.000000e-03	0.000000e+00	2.809524e-01	-5.073079e+00	4.893307e-03	0.000000e+00	-2.694886e+00	-1.493195e-01	-7.661513e-02
2.000000e-03	0.000000e+00	3.206762e-01	-5.790361e+00	5.585171e-03	0.000000e+00	-3.228833e+00	-1.789041e-01	-9.124458e-02
3.000000e-03	0.000000e+00	3.603093e-01	-6.506004e+00	6.275455e-03	0.000000e+00	-3.805927e+00	-2.108797e-01	-1.073152e-01
3.750000e-03	0.000000e+00	3.779952e-01	-6.825354e+00	6.583488e-03	0.000000e+00	-4.072425e+00	-2.256458e-01	-1.147409e-01
4.000000e-03	0.000000e+00	3.790005e-01	-6.843507e+00	6.600997e-03	0.000000e+00	-4.087967e+00	-2.265072e-01	-1.154495e-01
5.000000e-03	0.000000e+00	3.567285e-01	-6.441347e+00	6.213089e-03	0.000000e+00	-3.761457e+00	-2.084343e-01	-1.254183e-01
6.000000e-03	0.000000e+00	2.715448e-01	-4.903210e+00	4.729457e-03	0.000000e+00	-2.588500e+00	-1.434396e-01	-8.891249e-02
7.000000e-03	0.000000e+00	1.233775e-01	-2.227793e+00	2.148848e-03	0.000000e+00	-9.486126e-01	-5.256091e-02	-2.670869e-02
8.000000e-03	0.000000e+00	1.694066e-20	8.131516e-20	-5.048710e-29	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-03	0.000000e+00	-6.310887e-30	3.388132e-21	1.972152e-31	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	0.000000e+00	-6.462349e-27	-1.615587e-27	6.776265e-21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
