t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.014,1.2628786905111155e-18,0.1,0.12,0.10018726438697456,0.04962780750870245,0.09999796386193888,0.20040452877394913,1.804394695892771e-18,1.592660520829437e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.767279175063996e-17,0.014468842234737518,-0.028627266386145434,-0.0002888584478874997,0.02893768446947502,1.3875112595946673e-16,1.1971571376992484e-16,6.959770111144306e-5,3.4972492030350757e-16,5.601196723126596e-15
0.016,1.457167719820518e-18,0.1,0.12,0.10021622191368794,0.049570553996460924,0.0999973451739115,0.20046244382737588,2.0821876401248964e-18,1.828175883726845e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.6914879499162523e-17,0.014488677637198999,-0.028626238491416184,-0.00032982908109929564,0.028977355274397976,1.3906295795785307e-16,1.158407396430668e-16,6.959770111144678e-5,3.5206022071703764e-16,5.834504995587073e-15
0.018000000000000002,1.6514567491299203e-18,0.1,0.12,0.10024521907016731,0.049513302584188706,0.09999664454760834,0.20052043814033463,2.3603204814083974e-18,2.0598869112489037e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.894355057189149e-17,0.01450847200560398,-0.028625166418806646,-0.0003707967234875351,0.029016944011207926,1.389027049470783e-16,1.1866444293865405e-16,6.959770111145765e-5,3.5032899037868257e-16,3.5048024820444147e-15
0.022000000000000002,2.040034807748725e-18,0.1,0.12,0.10030333194432706,0.04939880641290504,0.0999949975041075,0.20063666388865412,2.915899675350447e-18,2.5310986199887615e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.136442805711709e-17,0.014547937757244889,-0.0286228897865739,-0.00045272303170539133,0.029095875514489743,1.3912887591698115e-16,1.1929659051097551e-16,6.959770111145267e-5,3.498569651011192e-16,3.298101734025349e-15
0.026000000000000002,2.4286128663675298e-18,0.1,0.12,0.10036160235384542,0.04928431970132772,0.09999302277932157,0.20075320470769084,3.4747372548400126e-18,2.998327226525923e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.704064417831851e-17,0.014587239724019293,-0.02862043658052424,-0.0005346373647895615,0.029174479448038537,1.4007020653450738e-16,1.1455557605680182e-16,6.959770111145698e-5,3.4812811190117543e-16,7.094960848161193e-15
0.030000000000000002,2.8171909249863345e-18,0.1,0.12,0.10042002964405257,0.04916984315557566,0.09999072042116551,0.20087005928810514,4.035770406766165e-18,3.442015492207498e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.2880252560071975e-17,0.01462637814083323,-0.02861780688824922,-0.000616539715646924,0.029252756281666417,1.40194159075757e-16,1.0824721236327895e-16,6.95977011114605e-5,3.5267585430944107e-16,3.2965045535152594e-15
0.034,3.2057689836051393e-18,0.1,0.12,0.10047861316121934,0.049055377481424405,0.09998809047758135,0.20098722632243868,4.596182999568772e-18,3.88540532070623e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.136442805711709e-17,0.014665353243102874,-0.028615000793852475,-0.0006984300778130982,0.029330706486205692,1.398899853799239e-16,1.1316551623300292e-16,6.959770111147029e-5,3.486816155703009e-16,7.614608221801708e-15
0.038000000000000006,3.5943470422239444e-18,0.1,0.12,0.10053735225255916,0.04894092338432004,0.09998513299653577,0.20110470450511833,5.155273170306378e-18,4.315448211037619e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.0487214803092275e-17,0.014704165266717712,-0.028612018377947496,-0.0007803084454228508,0.02940833053343538,1.397001033372665e-16,1.0592841454906093e-16,6.95977011114582e-5,3.481406696576268e-16,6.269686244828353e-15
0.04200000000000001,3.9829251008427495e-18,0.1,0.12,0.10059624626622996,0.04882648156939319,0.09998184802601778,0.2012224925324599,5.713282244962077e-18,4.741983725764705e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.4647606421338807e-17,0.014742814448004331,-0.02860885971765557,-0.0008621748131805063,0.0294856288960086,1.3982831497971003e-16,1.0554133265844283e-16,6.959770111147582e-5,3.5140384800543166e-16,4.8534590331800134e-15
0.05000000000000001,4.760081218080359e-18,0.1,0.12,0.1007144964579281,0.04859763760510108,0.09997429580861897,0.2014589929158562,6.829253117095994e-18,5.632439183311245e-18,9.71445146547012e-17,-2.7581414157866012e-17,-2.4778495622373308e-17,0.014819625230867986,-0.028602013954923903,-0.0010258715306273962,0.02963925046173587,1.3948666350182669e-16,1.167452850153223e-16,6.95977011115864e-5,4.0265260369775263e-16,5.8545193373658385e-15
