
".MODEL_1.Last_Run.PART_5_XFORM.TIME"	".MODEL_1.Last_Run.PART_5_XFORM.X"	".MODEL_1.Last_Run.PART_5_XFORM.Y"	".MODEL_1.Last_Run.PART_5_XFORM.Z"	".MODEL_1.Last_Run.PART_5_XFORM.PSI"	".MODEL_1.Last_Run.PART_5_XFORM.THETA"	".MODEL_1.Last_Run.PART_5_XFORM.PHI"	".MODEL_1.Last_Run.PART_5_XFORM.VX"	".MODEL_1.Last_Run.PART_5_XFORM.VY"	".MODEL_1.Last_Run.PART_5_XFORM.VZ"	".MODEL_1.Last_Run.PART_5_XFORM.WX"	".MODEL_1.Last_Run.PART_5_XFORM.WY"	".MODEL_1.Last_Run.PART_5_XFORM.WZ"	".MODEL_1.Last_Run.PART_5_XFORM.ACCX"	".MODEL_1.Last_Run.PART_5_XFORM.ACCY"	".MODEL_1.Last_Run.PART_5_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_5_XFORM.WDX"	".MODEL_1.Last_Run.PART_5_XFORM.WDY"	".MODEL_1.Last_Run.PART_5_XFORM.WDZ"
8.000000e-01	3.370619e-02	-2.673448e-02	-2.190359e-02	-4.513163e+01	7.869312e+00	5.312084e+01	5.065140e-02	-2.961458e-02	-3.821889e-02	5.012110e+00	-1.046463e+01	9.211871e+00	1.852315e-02	1.483999e-02	-2.455359e-02	-4.493235e+00	-7.468193e+00	-3.491375e+00
8.500000e-01	3.627815e-02	-2.818647e-02	-2.387972e-02	-4.614637e+01	8.422809e+00	5.460085e+01	5.152402e-02	-2.882506e-02	-3.939836e-02	4.779572e+00	-1.082857e+01	9.023018e+00	1.752332e-02	1.584155e-02	-2.346607e-02	-4.587939e+00	-7.319175e+00	-3.849313e+00
9.000000e-01	3.889100e-02	-2.959660e-02	-2.591233e-02	-4.714835e+01	8.984656e+00	5.605969e+01	5.234494e-02	-2.798576e-02	-4.052178e-02	4.542404e+00	-1.118470e+01	8.816099e+00	1.648125e-02	1.682510e-02	-2.234184e-02	-4.681832e+00	-7.162368e+00	-4.214121e+00
9.500000e-01	4.154204e-02	-3.096239e-02	-2.799853e-02	-4.813834e+01	9.554905e+00	5.749733e+01	5.311183e-02	-2.709755e-02	-4.158720e-02	4.300662e+00	-1.153256e+01	8.590750e+00	1.539151e-02	1.779037e-02	-2.117906e-02	-4.774508e+00	-6.996450e+00	-4.586070e+00
1.000000e+00	4.422848e-02	-3.228141e-02	-3.013531e-02	-4.911713e+01	1.013358e+01	5.891373e+01	5.382203e-02	-2.616133e-02	-4.259256e-02	4.054429e+00	-1.187163e+01	8.346598e+00	1.424869e-02	1.873687e-02	-1.997600e-02	-4.865503e+00	-6.820050e+00	-4.965321e+00
1.050000e+00	4.694736e-02	-3.355126e-02	-3.231957e-02	-5.008549e+01	1.072066e+01	6.030880e+01	5.447265e-02	-2.517804e-02	-4.353575e-02	3.803812e+00	-1.220133e+01	8.083266e+00	1.304741e-02	1.966388e-02	-1.873113e-02	-4.954286e+00	-6.631756e+00	-5.351912e+00
1.100000e+00	4.969556e-02	-3.476960e-02	-3.454809e-02	-5.104419e+01	1.131611e+01	6.168246e+01	5.506053e-02	-2.414865e-02	-4.441457e-02	3.548951e+00	-1.252100e+01	7.800381e+00	1.178236e-02	2.057047e-02	-1.744316e-02	-5.040267e+00	-6.430126e+00	-5.745749e+00
1.150000e+00	5.246980e-02	-3.593414e-02	-3.681755e-02	-5.199399e+01	1.191984e+01	6.303457e+01	5.558224e-02	-2.307421e-02	-4.522676e-02	3.290015e+00	-1.282991e+01	7.497579e+00	1.044838e-02	2.145553e-02	-1.611106e-02	-5.122790e+00	-6.213699e+00	-6.146593e+00
1.200000e+00	5.526662e-02	-3.704264e-02	-3.912449e-02	-5.293566e+01	1.253173e+01	6.436497e+01	5.603410e-02	-2.195583e-02	-4.597003e-02	3.027212e+00	-1.312726e+01	7.174515e+00	9.040511e-03	2.231777e-02	-1.473415e-02	-5.201140e+00	-5.981005e+00	-6.554055e+00
1.250000e+00	5.808236e-02	-3.809293e-02	-4.146535e-02	-5.386994e+01	1.315160e+01	6.567347e+01	5.641220e-02	-2.079469e-02	-4.664209e-02	2.760790e+00	-1.341216e+01	6.830870e+00	7.554050e-03	2.315573e-02	-1.331208e-02	-5.274540e+00	-5.730577e+00	-6.967583e+00
1.300000e+00	6.091314e-02	-3.908287e-02	-4.383644e-02	-5.479757e+01	1.377925e+01	6.695986e+01	5.671240e-02	-1.959205e-02	-4.724063e-02	2.491037e+00	-1.368367e+01	6.466360e+00	5.984623e-03	2.396786e-02	-1.184493e-02	-5.342154e+00	-5.460968e+00	-7.386454e+00
