
".MODEL_1.Last_Run.PART_sl_XFORM.TIME"	".MODEL_1.Last_Run.PART_sl_XFORM.X"	".MODEL_1.Last_Run.PART_sl_XFORM.Y"	".MODEL_1.Last_Run.PART_sl_XFORM.Z"	".MODEL_1.Last_Run.PART_sl_XFORM.PSI"	".MODEL_1.Last_Run.PART_sl_XFORM.THETA"	".MODEL_1.Last_Run.PART_sl_XFORM.PHI"	".MODEL_1.Last_Run.PART_sl_XFORM.VX"	".MODEL_1.Last_Run.PART_sl_XFORM.VY"	".MODEL_1.Last_Run.PART_sl_XFORM.VZ"	".MODEL_1.Last_Run.PART_sl_XFORM.WX"	".MODEL_1.Last_Run.PART_sl_XFORM.WY"	".MODEL_1.Last_Run.PART_sl_XFORM.WZ"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCX"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCY"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_sl_XFORM.WDX"	".MODEL_1.Last_Run.PART_sl_XFORM.WDY"	".MODEL_1.Last_Run.PART_sl_XFORM.WDZ"
8.000000e-01	3.069731e-02	1.070753e-17	-1.070753e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.256713e-02	-3.111898e-18	3.111898e-18	0.000000e+00	0.000000e+00	0.000000e+00	5.606967e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	3.283675e-02	1.061135e-17	-1.061135e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.278876e-02	-3.186162e-18	3.186162e-18	0.000000e+00	0.000000e+00	0.000000e+00	4.432577e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	3.498432e-02	1.051516e-17	-1.051516e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.295145e-02	-3.260426e-18	3.260426e-18	0.000000e+00	0.000000e+00	0.000000e+00	3.253971e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	3.713707e-02	1.041898e-17	-1.041898e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.305489e-02	-3.334690e-18	3.334690e-18	0.000000e+00	0.000000e+00	0.000000e+00	2.068635e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	3.929199e-02	1.032280e-17	-1.032280e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.309859e-02	-3.408954e-18	3.408954e-18	0.000000e+00	0.000000e+00	0.000000e+00	8.741630e-04	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	4.144610e-02	1.022661e-17	-1.022661e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.308201e-02	-3.483219e-18	3.483219e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.317113e-04	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	4.359632e-02	1.013043e-17	-1.013043e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.300445e-02	-3.557483e-18	3.557483e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.551093e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+00	4.573958e-02	1.003425e-17	-1.003425e-17	-7.016709e-15	0.000000e+00	0.000000e+00	4.286516e-02	-3.631747e-18	3.631747e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.785898e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	4.787274e-02	9.938063e-18	-9.938063e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.266327e-02	-3.706011e-18	3.706011e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.037829e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+00	4.999263e-02	9.841880e-18	-9.841880e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.239785e-02	-3.780275e-18	3.780275e-18	0.000000e+00	0.000000e+00	0.000000e+00	-5.308349e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	5.209603e-02	9.745696e-18	-9.745696e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.206792e-02	-3.854539e-18	3.854539e-18	0.000000e+00	0.000000e+00	0.000000e+00	-6.598660e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	5.417965e-02	9.649513e-18	-9.649513e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.167243e-02	-3.928804e-18	3.928804e-18	0.000000e+00	0.000000e+00	0.000000e+00	-7.909676e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	5.624017e-02	9.553329e-18	-9.553329e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.121033e-02	-4.003068e-18	4.003068e-18	0.000000e+00	0.000000e+00	0.000000e+00	-9.242001e-03	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+00	5.827419e-02	9.457145e-18	-9.457145e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.068054e-02	-4.077332e-18	4.077332e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.059591e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	6.027829e-02	9.360962e-18	-9.360962e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.008197e-02	-4.151596e-18	4.151596e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.197131e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+00	6.224897e-02	9.264778e-18	-9.264778e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.941358e-02	-4.225860e-18	4.225860e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.336775e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	6.418269e-02	9.168595e-18	-9.168595e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.867437e-02	-4.300125e-18	4.300125e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.478436e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	6.607586e-02	9.072411e-18	-9.072411e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.786337e-02	-4.374389e-18	4.374389e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.621988e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+00	6.792485e-02	8.976228e-18	-8.976228e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.697974e-02	-4.448653e-18	4.448653e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.767259e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+00	6.972598e-02	8.880044e-18	-8.880044e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.602273e-02	-4.522917e-18	4.522917e-18	0.000000e+00	0.000000e+00	0.000000e+00	-1.914033e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	7.147557e-02	8.783861e-18	-8.783861e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.499170e-02	-4.597181e-18	4.597181e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.062048e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+00	7.316988e-02	8.687677e-18	-8.687677e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.388620e-02	-4.671446e-18	4.671446e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.210997e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+00	7.480517e-02	8.591494e-18	-8.591494e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.270594e-02	-4.745710e-18	4.745710e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.360522e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	7.637772e-02	8.495310e-18	-8.495310e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.145083e-02	-4.819974e-18	4.819974e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.510220e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	7.788377e-02	8.399127e-18	-8.399127e-18	-7.016709e-15	0.000000e+00	0.000000e+00	3.012101e-02	-4.894238e-18	4.894238e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.659640e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+00	7.931961e-02	8.302943e-18	-8.302943e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.871687e-02	-4.968502e-18	4.968502e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.808288e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	8.068156e-02	8.206760e-18	-8.206760e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.723906e-02	-5.042766e-18	5.042766e-18	0.000000e+00	0.000000e+00	0.000000e+00	-2.955622e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	8.196599e-02	8.110576e-18	-8.110576e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.568853e-02	-5.117031e-18	5.117031e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.101059e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	8.316932e-02	8.014392e-18	-8.014392e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.406654e-02	-5.191295e-18	5.191295e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.243980e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	8.428805e-02	7.918209e-18	-7.918209e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.237467e-02	-5.265559e-18	5.265559e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.383728e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	8.531879e-02	7.822025e-18	-7.822025e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.061487e-02	-5.339823e-18	5.339823e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.519616e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+00	8.625826e-02	7.725842e-18	-7.725842e-18	-7.016709e-15	0.000000e+00	0.000000e+00	1.878940e-02	-5.414087e-18	5.414087e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.650932e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	8.710331e-02	7.629658e-18	-7.629658e-18	-7.016709e-15	0.000000e+00	0.000000e+00	1.690093e-02	-5.488352e-18	5.488352e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.776942e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	8.785093e-02	7.533475e-18	-7.533475e-18	-7.016709e-15	0.000000e+00	0.000000e+00	1.495248e-02	-5.562616e-18	5.562616e-18	0.000000e+00	0.000000e+00	0.000000e+00	-3.896901e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	8.849831e-02	7.437291e-18	-7.437291e-18	-7.016709e-15	0.000000e+00	0.000000e+00	1.294745e-02	-5.636880e-18	5.636880e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.010057e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	8.904279e-02	7.341108e-18	-7.341108e-18	-7.016709e-15	0.000000e+00	0.000000e+00	1.088962e-02	-5.711144e-18	5.711144e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.115658e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	8.948194e-02	7.244924e-18	-7.244924e-18	-7.016709e-15	0.000000e+00	0.000000e+00	8.783140e-03	-5.785408e-18	5.785408e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.212961e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
