X,Y,Z
2420.194177,-672.328867,1391.323632
2417.956422,-672.3288587,1391.317346
2415.718675,-672.3288505,1391.311063
2413.48093,-672.3288425,1391.304782
2411.24318,-672.3288346,1391.298502
2409.005414,-672.3288268,1391.292225
2406.767625,-672.3288192,1391.28595
2404.529813,-672.3288118,1391.279677
2402.291993,-672.3288046,1391.273406
2400.054205,-672.3287976,1391.267137
2397.816524,-672.3287908,1391.26087
2395.579073,-672.3287842,1391.254607
2393.341007,-672.3287779,1391.248344
2391.103235,-672.3287719,1391.242084
2388.865462,-672.3287662,1391.235827
2386.62769,-672.3287609,1391.229572
2384.389918,-672.3287559,1391.223319
2382.152146,-672.3287513,1391.217069
2379.914375,-672.3287472,1391.210822
2377.676604,-672.3287435,1391.204577
2375.438836,-672.3287403,1391.198334
2373.20107,-672.3287377,1391.192095
2370.963306,-672.3287357,1391.185857
2368.725542,-672.3287343,1391.179623
2366.487776,-672.3287337,1391.173391
2364.250004,-672.3287339,1391.167162
2362.012224,-672.328735,1391.160934
2359.77444,-672.3287371,1391.15471
2357.536663,-672.3287403,1391.148487
2355.29889,-672.3287447,1391.142267
2353.061119,-672.3287505,1391.136048
2350.823352,-672.3287577,1391.12983
2348.585587,-672.3287666,1391.123612
2346.347825,-672.3287773,1391.117395
2344.110062,-672.3287899,1391.111175
2341.872294,-672.3288048,1391.104953
2339.634517,-672.328822,1391.098727
2337.39673,-672.3288416,1391.092494
2335.158939,-672.3288639,1391.086252
2332.921153,-672.3288887,1391.08
2330.683377,-672.3289161,1391.073733
2328.445605,-672.3289452,1391.067454
2326.207833,-672.3289746,1391.061172
2323.970061,-672.3290026,1391.054896
2321.732288,-672.3290282,1391.048639
2319.494515,-672.3290501,1391.042419
2317.256742,-672.3290674,1391.036253
2315.018969,-672.3290793,1391.030167
2312.781197,-672.3290853,1391.024189
2310.543424,-672.3290851,1391.018351
2308.30565,-672.3290789,1391.012689
2306.067874,-672.3290673,1391.007242
2303.830099,-672.3290514,1391.002044
2301.592323,-672.3290326,1390.997127
2299.354546,-672.3290128,1390.992513
2297.116768,-672.3289936,1390.988213
2294.878991,-672.3289768,1390.984227
2292.641213,-672.3289636,1390.980548
2290.403435,-672.3289548,1390.977163
2288.165656,-672.328951,1390.974055
2285.927876,-672.3289521,1390.971209
2283.69008,-672.328958,1390.968612
2281.452232,-672.328968,1390.966253
2279.214248,-672.3289816,1390.964129
2276.976382,-672.3289979,1390.96224
2274.738706,-672.3290158,1390.960595
2272.501163,-672.3290342,1390.959209
2270.263454,-672.3290517,1390.958108
2268.025694,-672.3290676,1390.957321
2265.787911,-672.3290814,1390.95688
2263.550113,-672.3290929,1390.956814
2261.312311,-672.3291019,1390.957152
2259.074514,-672.3291082,1390.957924
2256.836727,-672.329112,1390.959156
2254.598952,-672.3291132,1390.960877
2252.361184,-672.3291122,1390.963109
2250.123416,-672.3291093,1390.965874
2247.885641,-672.3291047,1390.969191
2245.647856,-672.3290989,1390.973075
2243.410061,-672.3290924,1390.977537
2241.172261,-672.3290857,1390.982587
2238.934463,-672.3290792,1390.988227
