X,Y,Z
2401.798898,-808.9938985,-2.399999854
2399.392717,-808.9938985,-2.399999854
2396.986537,-808.9938985,-2.399999854
2394.580356,-808.9938985,-2.399999854
2392.174176,-808.9938985,-2.399999854
2389.767995,-808.9938985,-2.399999854
2387.361815,-808.9938985,-2.399999854
2384.955634,-808.9938985,-2.399999854
2382.549454,-808.9938985,-2.399999854
2380.143273,-808.9938985,-2.399999854
2377.737093,-808.9938985,-2.399999854
2375.330912,-808.9938985,-2.399999854
2372.924732,-808.9938985,-2.399999854
2370.518551,-808.9938985,-2.399999854
2368.112371,-808.9938985,-2.399999854
2365.70619,-808.9938985,-2.399999854
2363.30001,-808.9938985,-2.399999854
2360.893829,-808.9938985,-2.399999854
2358.487649,-808.9938985,-2.399999854
2356.081468,-808.9938985,-2.399999854
2353.675287,-808.9938985,-2.399999854
2351.269107,-808.9938985,-2.399999854
2348.862926,-808.9938985,-2.399999854
2346.456746,-808.9938985,-2.399999854
2344.050565,-808.9938985,-2.399999854
2341.644385,-808.9938985,-2.399999854
2339.238204,-808.9938985,-2.399999854
2336.832024,-808.9938985,-2.399999854
2334.425843,-808.9938985,-2.399999854
2332.019663,-808.9938985,-2.399999854
2329.613482,-808.9938985,-2.399999854
2327.207302,-808.9938985,-2.399999854
2324.801121,-808.9938985,-2.399999854
2322.394941,-808.9938985,-2.399999854
2319.98876,-808.9938985,-2.399999854
2317.58258,-808.9938985,-2.399999854
2315.176399,-808.9938985,-2.399999854
2312.770219,-808.9938985,-2.399999854
2310.364038,-808.9938985,-2.399999854
2307.957858,-808.9938985,-2.399999854
2305.551677,-808.9938985,-2.399999854
2303.145497,-808.9938985,-2.399999854
2300.739316,-808.9938985,-2.399999854
2298.333136,-808.9938985,-2.399999854
2295.926955,-808.9938985,-2.399999854
2293.520775,-808.9938985,-2.399999854
2291.114594,-808.9938985,-2.399999854
2288.708414,-808.9938985,-2.399999854
2286.302233,-808.9938985,-2.399999854
2283.896053,-808.9938985,-2.399999854
2281.489872,-808.9938985,-2.399999854
2279.083692,-808.9938985,-2.399999854
2276.677511,-808.9938985,-2.399999854
2274.271331,-808.9938985,-2.399999854
2271.86515,-808.9938985,-2.399999854
2269.45897,-808.9938985,-2.399999854
2267.052789,-808.9938985,-2.399999854
2264.646609,-808.9938985,-2.399999854
2262.240428,-808.9938985,-2.399999854
2259.834248,-808.9938985,-2.399999854
2257.428067,-808.9938985,-2.399999854
2255.021886,-808.9938985,-2.399999854
2252.615706,-808.9938985,-2.399999854
2250.209525,-808.9938985,-2.399999854
2247.803345,-808.9938985,-2.399999854
2245.397164,-808.9938985,-2.399999854
2242.990984,-808.9938985,-2.399999854
2240.584803,-808.9938985,-2.399999854
2238.178623,-808.9938985,-2.399999854
2235.772442,-808.9938985,-2.399999854
2233.366262,-808.9938985,-2.399999854
2230.960081,-808.9938985,-2.399999854
