X,Y,Z
3447.777176,846.1357358,716.4436765
3445.648515,846.3077101,716.4436765
3443.519824,846.4793044,716.4436765
3441.391101,846.6505187,716.4436765
3439.262349,846.821353,716.4436765
3437.133565,846.9918073,716.4436765
3435.004752,847.1618816,716.4436765
3432.875908,847.3315759,716.4436765
3430.747034,847.5008902,716.4436765
3428.618129,847.6698244,716.4436765
3426.489195,847.8383785,716.4436765
3424.360231,848.0065527,716.4436765
3422.231236,848.1743468,716.4436765
3420.102212,848.3417608,716.4436765
3417.973157,848.5087948,716.4436765
3415.844073,848.6754487,716.4436765
3413.714959,848.8417226,716.4436765
3411.585816,849.0076163,716.4436765
3409.456643,849.17313,716.4436765
3407.32744,849.3382636,716.4436765
3405.198209,849.5030172,716.4436765
3403.068947,849.6673906,716.4436765
3400.939657,849.8313839,716.4436765
3398.810337,849.9949971,716.4436765
3396.680988,850.1582302,716.4436765
3394.551609,850.3210832,716.4436765
3392.422202,850.4835561,716.4436765
3390.292766,850.6456488,716.4436765
3388.163301,850.8073615,716.4436765
3386.033807,850.9686939,716.4436765
3383.904284,851.1296463,716.4436765
3381.774733,851.2902185,716.4436765
3379.645153,851.4504105,716.4436765
3377.515544,851.6102224,716.4436765
3375.385907,851.7696541,716.4436765
3373.256242,851.9287056,716.4436765
3371.126548,852.087377,716.4436765
3368.996826,852.2456682,716.4436765
3366.867076,852.4035792,716.4436765
3364.737297,852.5611101,716.4436765
3362.60749,852.7182607,716.4436765
3360.477656,852.8750311,716.4436765
3358.347793,853.0314214,716.4436765
3356.217903,853.1874314,716.4436765
3354.087984,853.3430612,716.4436765
3351.958038,853.4983108,716.4436765
3349.828065,853.6531802,716.4436765
3347.698063,853.8076694,716.4436765
3345.568035,853.9617783,716.4436765
3343.437978,854.115507,716.4436765
3341.307895,854.2688554,716.4436765
3339.177783,854.4218236,716.4436765
3337.047645,854.5744115,716.4436765
3334.91748,854.7266192,716.4436765
3332.787287,854.8784466,716.4436765
3330.657067,855.0298938,716.4436765
3328.52682,855.1809607,716.4436765
3326.396547,855.3316473,716.4436765
3324.266246,855.4819536,716.4436765
3322.135919,855.6318796,716.4436765
3320.005565,855.7814254,716.4436765
3317.875184,855.9305909,716.4436765
3315.744777,856.079376,716.4436765
3313.614343,856.2277809,716.4436765
3311.483882,856.3758054,716.4436765
3309.353396,856.5234496,716.4436765
3307.222883,856.6707135,716.4436765
3305.092343,856.8175971,716.4436765
3302.961778,856.9641004,716.4436765
3300.831186,857.1102233,716.4436765
3298.700569,857.2559659,716.4436765
3296.569925,857.4013282,716.4436765
3294.439255,857.5463101,716.4436765
3292.30856,857.6909116,716.4436765
3290.177839,857.8351328,716.4436765
3288.047092,857.9789736,716.4436765
3285.916319,858.1224341,716.4436765
3283.785521,858.2655142,716.4436765
3281.654698,858.4082139,716.4436765
3279.523849,858.5505333,716.4436765
3277.392974,858.6924722,716.4436765
3275.262074,858.8340308,716.4436765
3273.131149,858.975209,716.4436765
3271.000199,859.1160067,716.4436765
3268.869224,859.2564241,716.4436765
3266.738224,859.3964611,716.4436765
3264.607199,859.5361177,716.4436765
3262.476148,859.6753938,716.4436765
3260.345074,859.8142896,716.4436765
3258.213974,859.9528049,716.4436765
3256.082849,860.0909397,716.4436765
3253.9517,860.2286942,716.4436765
3251.820527,860.3660682,716.4436765
3249.689329,860.5030618,716.4436765
3247.558106,860.6396749,716.4436765
3245.426859,860.7759076,716.4436765
3243.295588,860.9117598,716.4436765
3241.164293,861.0472315,716.4436765
3239.032973,861.1823228,716.4436765
3236.90163,861.3170337,716.4436765
3234.770262,861.451364,716.4436765
3232.638871,861.5853139,716.4436765
3230.507455,861.7188833,716.4436765
3228.376016,861.8520722,716.4436765
3226.244553,861.9848807,716.4436765
3224.113066,862.1173086,716.4436765
3221.981556,862.249356,716.4436765
3219.850022,862.381023,716.4436765
3217.718465,862.5123094,716.4436765
3215.586884,862.6432153,716.4436765
3213.45528,862.7737408,716.4436765
3211.323653,862.9038856,716.4436765
3209.192003,863.03365,716.4436765
3207.060329,863.1630339,716.4436765
3204.928632,863.2920372,716.4436765
3202.796913,863.42066,716.4436765
3200.66517,863.5489022,716.4436765
3198.533405,863.6767639,716.4436765
3196.401617,863.804245,716.4436765
3194.269806,863.9313456,716.4436765
3192.137972,864.0580657,716.4436765
3190.006116,864.1844052,716.4436765
3187.874237,864.3103641,716.4436765
3185.742336,864.4359425,716.4436765
3183.610412,864.5611402,716.4436765
3181.478467,864.6859575,716.4436765
3179.346498,864.8103941,716.4436765
3177.214508,864.9344501,716.4436765
3175.082496,865.0581256,716.4436765
3172.950461,865.1814205,716.4436765
3170.818405,865.3043348,716.4436765
3168.686327,865.4268684,716.4436765
3166.554226,865.5490215,716.4436765
3164.422104,865.670794,716.4436765
3162.289961,865.7921858,716.4436765
3160.157796,865.9131971,716.4436765
3158.025609,866.0338277,716.4436765
3155.8934,866.1540777,716.4436765
3153.761171,866.2739471,716.4436765
3151.628919,866.3934358,716.4436765
3149.496647,866.512544,716.4436765
3147.364353,866.6312714,716.4436765
3145.232039,866.7496183,716.4436765
3143.099703,866.8675845,716.4436765
3140.967346,866.98517,716.4436765
3138.834968,867.1023749,716.4436765
3136.702569,867.2191992,716.4436765
3134.570149,867.3356427,716.4436765
3132.437709,867.4517057,716.4436765
3130.305248,867.5673879,716.4436765
3128.172766,867.6826895,716.4436765
3126.040264,867.7976104,716.4436765
3123.907741,867.9121506,716.4436765
3121.775198,868.0263102,716.4436765
3119.642635,868.140089,716.4436765
3117.510051,868.2534872,716.4436765
3115.377447,868.3665047,716.4436765
3113.244823,868.4791414,716.4436765
3111.112179,868.5913975,716.4436765
3108.979515,868.7032729,716.4436765
3106.846831,868.8147676,716.4436765
3104.714127,868.9258815,716.4436765
3102.581403,869.0366148,716.4436765
3100.44866,869.1469673,716.4436765
3098.315896,869.2569391,716.4436765
3096.183114,869.3665302,716.4436765
3094.050311,869.4757405,716.4436765
3091.91749,869.5845702,716.4436765
3089.784648,869.6930191,716.4436765
3087.651788,869.8010872,716.4436765
3085.518908,869.9087746,716.4436765
3083.386009,870.0160813,716.4436765
3081.253091,870.1230072,716.4436765
3079.120154,870.2295524,716.4436765
3076.987198,870.3357168,716.4436765
3074.854223,870.4415004,716.4436765
3072.721229,870.5469033,716.4436765
3070.588217,870.6519254,716.4436765
3068.455185,870.7565668,716.4436765
3066.322135,870.8608273,716.4436765
3064.189067,870.9647071,716.4436765
3062.05598,871.0682062,716.4436765
3059.922874,871.1713244,716.4436765
3057.78975,871.2740619,716.4436765
3055.656608,871.3764185,716.4436765
3053.523448,871.4783944,716.4436765
3051.390269,871.5799895,716.4436765
3049.257073,871.6812038,716.4436765
3047.123858,871.7820372,716.4436765
3044.990625,871.8824899,716.4436765
3042.857374,871.9825618,716.4436765
3040.724106,872.0822528,716.4436765
3038.59082,872.1815631,716.4436765
3036.457516,872.2804925,716.4436765
3034.324194,872.3790411,716.4436765
3032.190855,872.4772089,716.4436765
3030.057499,872.5749958,716.4436765
3027.924125,872.672402,716.4436765
3025.790734,872.7694272,716.4436765
3023.657325,872.8660717,716.4436765
3021.523899,872.9623353,716.4436765
3019.390456,873.0582181,716.4436765
3017.256996,873.15372,716.4436765
3015.123519,873.2488411,716.4436765
3012.990025,873.3435813,716.4436765
3010.856514,873.4379407,716.4436765
3008.722986,873.5319192,716.4436765
3006.589442,873.6255168,716.4436765
3004.455881,873.7187336,716.4436765
3002.322303,873.8115695,716.4436765
3000.188709,873.9040246,716.4436765
2998.055098,873.9960987,716.4436765
2995.921471,874.087792,716.4436765
2993.787827,874.1791045,716.4436765
2991.654168,874.270036,716.4436765
2989.520492,874.3605867,716.4436765
2987.3868,874.4507564,716.4436765
2985.253091,874.5405453,716.4436765
2983.119367,874.6299533,716.4436765
2980.985627,874.7189804,716.4436765
2978.851871,874.8076266,716.4436765
2976.7181,874.8958919,716.4436765
2974.584312,874.9837763,716.4436765
2972.450509,875.0712797,716.4436765
2970.31669,875.1584023,716.4436765
2968.182856,875.245144,716.4436765
2966.049007,875.3315047,716.4436765
2963.915141,875.4174845,716.4436765
2961.781261,875.5030834,716.4436765
2959.647366,875.5883014,716.4436765
2957.513455,875.6731385,716.4436765
2955.379529,875.7575946,716.4436765
2953.245588,875.8416698,716.4436765
2951.111632,875.925364,716.4436765
2948.977661,876.0086774,716.4436765
2946.843676,876.0916097,716.4436765
2944.709675,876.1741612,716.4436765
2942.57566,876.2563317,716.4436765
2940.44163,876.3381212,716.4436765
2938.307586,876.4195298,716.4436765
2936.173527,876.5005574,716.4436765
2934.039454,876.5812041,716.4436765
2931.905366,876.6614699,716.4436765
2929.771265,876.7413546,716.4436765
2927.637148,876.8208584,716.4436765
2925.503018,876.8999813,716.4436765
2923.368874,876.9787232,716.4436765
2921.234715,877.0570841,716.4436765
2919.100543,877.135064,716.4436765
2916.966357,877.2126629,716.4436765
2914.832157,877.2898809,716.4436765
2912.697943,877.3667179,716.4436765
2910.563715,877.4431739,716.4436765
2908.429474,877.5192489,716.4436765
2906.29522,877.594943,716.4436765
2904.160952,877.670256,716.4436765
2902.02667,877.7451881,716.4436765
2899.892375,877.8197391,716.4436765
2897.758067,877.8939092,716.4436765
2895.623746,877.9676983,716.4436765
2893.489411,878.0411063,716.4436765
2891.355064,878.1141334,716.4436765
2889.220703,878.1867794,716.4436765
2887.08633,878.2590445,716.4436765
2884.951943,878.3309285,716.4436765
2882.817544,878.4024315,716.4436765
2880.683132,878.4735535,716.4436765
2878.548708,878.5442945,716.4436765
2876.41427,878.6146545,716.4436765
2874.279821,878.6846334,716.4436765
2872.145359,878.7542313,716.4436765
2870.010884,878.8234482,716.4436765
2867.876397,878.8922841,716.4436765
2865.741898,878.9607389,716.4436765
2863.607387,879.0288127,716.4436765
2861.472863,879.0965054,716.4436765
2859.338328,879.1638171,716.4436765
2857.203781,879.2307478,716.4436765
2855.069221,879.2972975,716.4436765
2852.93465,879.363466,716.4436765
2850.800067,879.4292536,716.4436765
2848.665472,879.4946601,716.4436765
2846.530866,879.5596855,716.4436765
2844.396248,879.6243299,716.4436765
2842.261619,879.6885933,716.4436765
2840.126978,879.7524755,716.4436765
2837.992326,879.8159768,716.4436765
2835.857662,879.8790969,716.4436765
2833.722987,879.941836,716.4436765
2831.588301,880.004194,716.4436765
2829.453604,880.066171,716.4436765
2827.318896,880.1277669,716.4436765
2825.184177,880.1889817,716.4436765
2823.049447,880.2498155,716.4436765
2820.914707,880.3102682,716.4436765
2818.779955,880.3703398,716.4436765
2816.645193,880.4300303,716.4436765
2814.510089,880.4744431,716.4436765
2812.374529,880.4774979,716.4436765
2810.239318,880.4387133,716.4436765
2808.105278,880.3581045,716.4436765
2805.973226,880.2357022,716.4436765
2803.843982,880.0715535,716.4436765
