X,Y,Z
3507.79607,-796.0712649,985.593382
3505.513285,-796.184165,985.5535359
3503.230484,-796.2967351,985.5136894
3500.947667,-796.4089756,985.4738427
3498.664835,-796.5208868,985.4339957
3496.381987,-796.6324692,985.3941484
3494.099123,-796.7437232,985.3543009
3491.816244,-796.8546491,985.314453
3489.533349,-796.9652473,985.274605
3487.250439,-797.0755184,985.2347566
3484.967513,-797.1854626,985.194908
3482.684572,-797.2950804,985.1550591
3480.401616,-797.4043724,985.1152099
3478.118645,-797.5133388,985.0753605
3475.835659,-797.6219803,985.0355108
3473.552657,-797.7302972,984.9956609
3471.269641,-797.8382901,984.9558107
3468.986609,-797.9459593,984.9159602
3466.703563,-798.0533055,984.8761095
3464.420501,-798.160329,984.8362585
3462.137425,-798.2670304,984.7964072
3459.854335,-798.3734102,984.7565557
3457.571229,-798.4794688,984.716704
3455.288109,-798.5852068,984.676852
3453.004975,-798.6906247,984.6369997
3450.721826,-798.795723,984.5971472
3448.438663,-798.9005022,984.5572944
3446.155485,-799.0049628,984.5174414
3443.872293,-799.1091054,984.4775881
3441.589087,-799.2129305,984.4377346
3439.305867,-799.3164385,984.3978809
3437.022632,-799.4196301,984.3580269
3434.739384,-799.5225058,984.3181726
3432.456121,-799.625066,984.2783181
3430.172845,-799.7273114,984.2384634
3427.889555,-799.8292424,984.1986084
3425.606251,-799.9308596,984.1587532
3423.322933,-800.0321635,984.1188978
3421.039602,-800.1331547,984.0790421
3418.756257,-800.2338338,984.0391861
3416.472899,-800.3342011,983.99933
3414.189527,-800.4342574,983.9594736
3411.906141,-800.5340031,983.9196169
3409.622743,-800.6334387,983.8797601
3407.339331,-800.7325649,983.839903
3405.055905,-800.8313821,983.8000457
3402.772467,-800.9298909,983.7601881
3400.489015,-801.0280919,983.7203303
3398.205551,-801.1259855,983.6804723
3395.922073,-801.2235724,983.6406141
3393.638583,-801.320853,983.6007556
3391.355079,-801.417828,983.5608969
3389.071563,-801.5144978,983.521038
3386.788034,-801.6108631,983.4811789
3384.504492,-801.7069243,983.4413195
3382.220938,-801.802682,983.4014599
3379.937371,-801.8981368,983.3616001
3377.653792,-801.9932891,983.3217401
3375.3702,-802.0881397,983.2818799
3373.086595,-802.1826889,983.2420194
3370.802978,-802.2769374,983.2021588
3368.519349,-802.3708858,983.1622979
3366.235708,-802.4645345,983.1224368
3363.952054,-802.5578841,983.0825755
3361.668388,-802.6509352,983.042714
3359.38471,-802.7436883,983.0028523
3357.10102,-802.8361441,982.9629903
3354.817318,-802.928303,982.9231282
3352.533604,-803.0201657,982.8832658
3350.249878,-803.1117327,982.8434032
3347.96614,-803.2030046,982.8035405
3345.682391,-803.2939819,982.7636775
3343.398629,-803.3846652,982.7238143
3341.114856,-803.4750552,982.6839509
3338.831071,-803.5651523,982.6440873
3336.547275,-803.6549573,982.6042235
3334.263467,-803.7444706,982.5643595
3331.979647,-803.8336929,982.5244954
3329.695816,-803.9226248,982.484631
3327.411974,-804.0112669,982.4447664
3325.12812,-804.0996198,982.4049016
3322.844255,-804.1876841,982.3650366
3320.560378,-804.2754605,982.3251714
3318.276491,-804.3629495,982.285306
3315.992592,-804.4501518,982.2454404
3313.708682,-804.5370681,982.2055747
3311.42476,-804.623699,982.1657087
3309.140828,-804.7100452,982.1258425
3306.856885,-804.7961072,982.0859762
3304.572931,-804.8818859,982.0461096
3302.288965,-804.9673819,982.0062429
3300.004989,-805.0525959,981.966376
3297.721003,-805.1375285,981.9265089
3295.437005,-805.2221805,981.8866416
3293.152997,-805.3065527,981.8467741
3290.868978,-805.3906457,981.8069064
3288.584948,-805.4744602,981.7670386
3286.300908,-805.5579972,981.7271705
3284.016857,-805.6412572,981.6873023
3281.732796,-805.7242411,981.6474339
3279.448725,-805.8069497,981.6075653
3277.164643,-805.8893838,981.5676966
3274.88055,-805.9715442,981.5278276
3272.596448,-806.0534318,981.4879585
3270.312335,-806.1350473,981.4480892
3268.028212,-806.2163917,981.4082197
3265.744079,-806.2974658,981.36835
3263.459936,-806.3782705,981.3284802
3261.175783,-806.4588068,981.2886102
3258.89162,-806.5390755,981.24874
3256.607447,-806.6190776,981.2088697
3254.323264,-806.6988141,981.1689992
3252.039072,-806.778286,981.1291285
3249.754869,-806.8574942,981.0892576
3247.470657,-806.9364398,981.0493866
3245.186436,-807.0151239,981.0095154
3242.902205,-807.0935474,980.969644
3240.617964,-807.1717115,980.9297725
3238.333714,-807.2496173,980.8899008
3236.049443,-807.3272662,980.8500287
3233.765146,-807.4046596,980.8101562
3231.480821,-807.481798,980.7702832
3229.196552,-807.558679,980.7304112
3226.912277,-807.6353053,980.6905391
3224.627967,-807.7116782,980.6506663
3222.343596,-807.7877993,980.6107926
3220.059224,-807.8636671,980.5709187
3217.774879,-807.9392813,980.5310454
3215.490551,-808.0146429,980.4911723
3213.206766,-808.0897354,980.4513088
3210.922456,-808.1645945,980.411436
3208.638454,-808.2391937,980.3715687
3206.353092,-808.3135881,980.3316776
3204.06888,-808.3876967,980.2918066
3201.784923,-808.4615497,980.25194
3199.50049,-808.5351714,980.2120651
3197.215534,-808.6085641,980.1721811
3194.931128,-808.6816942,980.1323067
3192.646727,-808.7545802,980.0924324
3190.362309,-808.8272236,980.0525578
3188.078365,-808.89961,980.0126914
3185.793923,-808.9717709,979.9728164
3183.508997,-809.0437069,979.9329329
3181.224574,-809.1153877,979.8930582
3178.940132,-809.186831,979.8531832
3176.655704,-809.2580365,979.8133084
3174.371699,-809.3289927,979.773441
3172.086685,-809.399745,979.733556
3169.802235,-809.4702456,979.6936808
3167.51775,-809.5405142,979.653805
3165.233291,-809.6105498,979.6139297
3162.949278,-809.6803408,979.5740622
3160.664765,-809.7499172,979.5341859
