t,F
-1,3.5662909
-0.5,4.0645919
0,4.4269462
7.81E-03,4.5569582
9.77E-03,4.5768056
1.17E-02,4.5777717
1.37E-02,4.5777802
1.56E-02,4.5777798
1.76E-02,4.5777802
1.95E-02,4.5777802
2.15E-02,4.5777802
2.34E-02,4.5777802
2.54E-02,4.5777802
2.73E-02,4.5777802
2.93E-02,4.5777802
3.13E-02,4.5777802
3.32E-02,4.5777802
3.52E-02,4.5777802
3.71E-02,4.5777802
3.91E-02,4.5777802
4.10E-02,4.5777802
4.30E-02,4.5777802
4.49E-02,4.5777802
4.69E-02,4.5777802
4.88E-02,4.5777802
5.08E-02,4.5777802
5.27E-02,4.5777802
5.47E-02,4.5777802
5.66E-02,4.5777802
5.86E-02,4.5777802
6.05E-02,4.5777802
6.25E-02,4.5777802
6.45E-02,4.5777802
6.64E-02,4.5777802
6.84E-02,4.5777802
7.03E-02,4.5777802
7.23E-02,4.5777802
7.42E-02,4.5777802
7.62E-02,4.5777802
7.81E-02,4.5777802
8.01E-02,4.5777802
8.20E-02,4.5777802
8.40E-02,4.5777802
8.59E-02,4.5777802
8.79E-02,4.5777802
8.98E-02,4.5777802
9.18E-02,4.5777802
9.38E-02,4.5777802
9.57E-02,4.5777802
9.77E-02,4.5777802
9.96E-02,4.5777802
0.1015625,6.1037102
0.103515625,6.1037102
0.10546875,7.6296406
0.107421875,7.6296406
0.109375,7.6296406
0.111328125,7.6296406
0.11328125,7.6296406
0.115234375,7.6296406
0.1171875,7.6296406
0.119140625,7.6296406
0.12109375,7.6296406
0.123046875,7.6296406
0.125,7.6296406
0.126953125,7.6296406
0.12890625,7.6296406
0.130859375,7.6296406
0.1328125,7.6296406
0.134765625,7.6296406
0.13671875,7.6296406
0.138671875,7.6296406
0.140625,7.6296406
0.142578125,7.6296406
0.14453125,7.6296406
0.146484375,7.6296406
0.1484375,7.6296406
0.150390625,7.6296406
0.15234375,7.6296406
0.154296875,7.6296406
0.15625,7.6296406
0.158203125,7.6296406
0.16015625,7.6296406
0.162109375,7.6296406
0.1640625,7.6296406
0.166015625,7.6296406
0.16796875,7.6296406
0.169921875,7.6296406
0.171875,7.6296406
0.173828125,7.6296406
0.17578125,7.6296406
0.177734375,7.6296406
0.1796875,7.6296406
0.181640625,7.6296406
0.18359375,7.6296406
0.185546875,7.6296406
0.1875,9.15557
0.189453125,9.15557
0.19140625,9.15557
0.193359375,9.15557
0.1953125,9.15557
0.197265625,9.15557
0.19921875,9.15557
0.201171875,9.15557
0.203125,9.15557
0.205078125,9.15557
0.20703125,9.15557
0.208984375,9.15557
0.2109375,9.15557
0.212890625,9.15557
0.21484375,9.15557
0.216796875,9.15557
0.21875,9.15557
0.220703125,9.15557
0.22265625,9.15557
0.224609375,10.6815
0.2265625,10.6815
0.228515625,10.6815
0.23046875,10.6815
0.232421875,12.207431
0.234375,13.73336
0.236328125,13.73336
0.23828125,15.259291
0.240234375,15.259291
0.2421875,15.259291
0.244140625,15.259291
0.24609375,16.785221
0.248046875,16.785221
0.25,18.311152
0.251953125,19.83708
0.25390625,19.83708
0.255859375,19.83708
0.2578125,19.83708
0.259765625,19.83708
0.26171875,19.83708
0.263671875,19.83708
0.265625,19.83708
0.267578125,19.83708
0.26953125,19.83708
0.271484375,21.36301
0.2734375,21.36301
0.275390625,22.888941
0.27734375,24.414871
0.279296875,24.414871
0.28125,24.414871
0.283203125,25.940802
0.28515625,25.940802
0.287109375,27.46673
0.2890625,27.46673
0.291015625,27.46673
0.29296875,27.46673
0.294921875,28.992661
0.296875,28.992661
0.298828125,30.518591
0.30078125,30.518591
0.302734375,30.518591
0.3046875,32.044521
0.306640625,32.044521
0.30859375,32.044521
0.310546875,32.044521
0.3125,32.044521
0.314453125,32.044521
0.31640625,32.044521
0.318359375,32.044521
0.3203125,32.044521
0.322265625,33.57045
0.32421875,33.57045
0.326171875,33.57045
0.328125,35.096382
0.330078125,36.622311
0.33203125,38.148243
0.333984375,38.148243
0.3359375,38.148243
0.337890625,39.674171
0.33984375,41.2001
0.341796875,41.2001
0.34375,41.2001
0.345703125,42.726032
0.34765625,42.726032
0.349609375,44.251961
0.3515625,44.251961
0.353515625,44.251961
0.35546875,45.777893
0.357421875,45.777893
0.359375,45.777893
0.361328125,45.777893
0.36328125,47.303822
0.365234375,47.303822
0.3671875,47.303822
0.369140625,47.303822
0.37109375,47.303822
0.373046875,47.303822
0.375,47.303822
0.376953125,48.82975
0.37890625,48.82975
0.380859375,48.82975
0.3828125,50.355682
0.384765625,50.355682
0.38671875,51.881611
0.388671875,53.407543
0.390625,53.407543
0.392578125,54.933472
0.39453125,54.933472
0.396484375,54.933472
0.3984375,56.4594
0.400390625,56.4594
0.40234375,56.4594
0.404296875,56.4594
0.40625,56.4594
0.408203125,56.4594
0.41015625,56.4594
0.412109375,57.985332
0.4140625,57.985332
0.416015625,59.511261
0.41796875,59.511261
0.419921875,59.511261
0.421875,59.511261
0.423828125,61.037193
0.42578125,61.037193
0.427734375,62.563122
0.4296875,62.563122
0.431640625,62.563122
0.43359375,64.08905
0.435546875,65.614983
0.4375,65.614983
0.439453125,65.614983
0.44140625,65.614983
0.443359375,67.140915
0.4453125,67.140915
0.447265625,67.140915
0.44921875,67.140915
0.451171875,67.140915
0.453125,67.140915
0.455078125,68.66684
0.45703125,68.66684
0.458984375,68.66684
0.4609375,68.66684
0.462890625,70.192772
0.46484375,70.192772
0.466796875,70.192772
0.46875,70.192772
0.470703125,70.192772
0.47265625,70.192772
0.474609375,71.718704
0.4765625,71.718704
0.478515625,71.718704
0.48046875,73.244629
0.482421875,73.244629
0.484375,74.770561
0.486328125,76.296494
0.48828125,76.296494
0.490234375,77.822426
0.4921875,77.822426
0.494140625,79.348351
0.49609375,79.348351
0.498046875,79.348351
0.5,79.348351
0.501953125,79.348351
0.50390625,79.348351
0.505859375,80.874283
0.5078125,82.400215
0.509765625,82.400215
0.51171875,83.92614
0.513671875,83.92614
0.515625,83.92614
0.517578125,83.92614
0.51953125,83.92614
0.521484375,83.92614
0.5234375,83.92614
0.525390625,83.92614
0.52734375,83.92614
0.529296875,85.452072
0.53125,85.452072
0.533203125,86.978004
0.53515625,86.978004
0.537109375,88.503929
0.5390625,88.503929
0.541015625,88.503929
0.54296875,90.029861
0.544921875,90.029861
0.546875,91.555794
0.548828125,91.555794
0.55078125,91.555794
0.552734375,91.555794
0.5546875,93.081726
0.556640625,93.081726
0.55859375,93.081726
0.560546875,94.607651
0.5625,94.607651
0.564453125,94.607651
0.56640625,96.133583
0.568359375,96.133583
0.5703125,96.133583
0.572265625,96.133583
0.57421875,97.659515
0.576171875,99.18544
0.578125,99.18544
0.580078125,100.71137
0.58203125,100.71137
0.583984375,102.2373
0.5859375,102.2373
0.587890625,102.2373
0.58984375,102.2373
0.591796875,102.2373
0.59375,102.2373
0.595703125,102.2373
0.59765625,102.2373
0.599609375,102.2373
0.6015625,102.2373
0.603515625,102.2373
0.60546875,102.2373
0.607421875,102.2373
0.609375,102.2373
0.611328125,102.2373
0.61328125,102.2373
0.615234375,102.2373
0.6171875,102.2373
0.619140625,102.2373
0.62109375,102.2373
0.623046875,103.76324
0.625,103.76324
0.626953125,103.76324
0.62890625,103.76324
0.630859375,103.76324
0.6328125,103.76324
0.634765625,103.76324
0.63671875,103.76324
0.638671875,103.76324
0.640625,103.76324
0.642578125,103.76324
0.64453125,103.76324
0.646484375,103.76324
0.6484375,103.76324
0.650390625,103.76324
0.65234375,103.76324
0.654296875,103.76324
0.65625,103.76324
0.658203125,103.76324
0.66015625,102.2373
0.662109375,102.2373
0.6640625,102.2373
0.666015625,102.2373
0.66796875,102.2373
0.669921875,102.2373
0.671875,102.2373
0.673828125,102.2373
0.67578125,102.2373
0.677734375,102.2373
0.6796875,102.2373
0.681640625,102.2373
0.68359375,102.2373
0.685546875,102.2373
0.6875,102.2373
0.689453125,102.2373
0.69140625,102.2373
0.693359375,102.2373
0.6953125,102.2373
0.697265625,102.2373
0.69921875,102.2373
0.701171875,102.2373
0.703125,102.2373
0.705078125,103.76324
0.70703125,105.28916
0.708984375,105.28916
0.7109375,105.28916
0.712890625,106.81509
0.71484375,108.34103
0.716796875,108.34103
0.71875,109.86695
0.720703125,109.86695
0.72265625,111.39288
0.724609375,111.39288
0.7265625,111.39288
0.728515625,112.91882
0.73046875,112.91882
0.732421875,114.44474
0.734375,114.44474
0.736328125,115.97067
0.73828125,115.97067
0.740234375,115.97067
0.7421875,115.97067
0.744140625,115.97067
0.74609375,115.97067
0.748046875,115.97067
0.75,115.97067
0.751953125,115.97067
0.75390625,115.97067
0.755859375,115.97067
0.7578125,115.97067
0.759765625,115.97067
0.76171875,115.97067
0.763671875,115.97067
0.765625,115.97067
0.767578125,115.97067
0.76953125,115.97067
0.771484375,115.97067
0.7734375,115.97067
0.775390625,115.97067
0.77734375,115.97067
0.779296875,115.97067
0.78125,115.97067
0.783203125,115.97067
0.78515625,115.97067
0.787109375,115.97067
0.7890625,115.97067
0.791015625,115.97067
0.79296875,115.97067
0.794921875,115.97067
0.796875,114.44474
0.798828125,111.39288
0.80078125,109.86695
0.802734375,109.86695
0.8046875,108.34103
0.806640625,106.81509
0.80859375,105.28916
0.810546875,103.76324
0.8125,103.76324
0.814453125,100.71137
0.81640625,100.71137
0.818359375,99.18544
0.8203125,97.659515
0.822265625,96.133583
0.82421875,94.607651
0.826171875,93.081726
0.828125,91.555794
0.830078125,88.503929
0.83203125,86.978004
0.833984375,86.978004
0.8359375,85.452072
0.837890625,83.92614
0.83984375,82.400215
0.841796875,79.348351
0.84375,77.822426
0.845703125,76.296494
0.84765625,71.718704
0.849609375,70.192772
0.8515625,68.66684
0.853515625,68.66684
0.85546875,67.140915
0.857421875,65.614983
0.859375,64.08905
0.861328125,62.563122
0.86328125,61.037193
0.865234375,59.511261
0.8671875,57.985332
0.869140625,57.985332
0.87109375,54.933472
0.873046875,53.407543
0.875,53.407543
0.876953125,51.881611
0.87890625,50.355682
0.880859375,50.355682
0.8828125,48.82975
0.884765625,47.303822
0.88671875,45.777893
0.888671875,44.251961
0.890625,42.726032
0.892578125,41.2001
0.89453125,39.674171
0.896484375,36.622311
0.8984375,35.096382
0.900390625,33.57045
0.90234375,32.044521
0.904296875,30.518591
0.90625,30.518591
0.908203125,28.992661
0.91015625,25.940802
0.912109375,24.414871
0.9140625,22.888941
0.916015625,21.36301
0.91796875,19.83708
0.919921875,18.311152
0.921875,18.311152
0.923828125,16.785221
0.92578125,15.259291
0.927734375,15.259291
0.9296875,13.73336
0.931640625,12.207431
0.93359375,12.207431
0.935546875,12.207431
0.9375,12.207431
0.939453125,10.6815
0.94140625,9.15557
0.943359375,7.6296406
0.9453125,7.6296406
0.947265625,7.6296406
0.94921875,7.6296406
0.951171875,6.1037102
0.953125,6.1037102
0.955078125,6.1037102
0.95703125,6.1037102
0.958984375,6.1037102
0.9609375,4.5777802
0.962890625,4.5777802
0.96484375,4.5777802
0.966796875,4.5777802
0.96875,4.5777802
0.970703125,4.5777802
0.97265625,4.5777802
0.974609375,4.5777802
0.9765625,4.5777802
0.978515625,4.5777802
0.98046875,4.5777802
0.982421875,4.5777802
0.984375,4.5777802
0.986328125,4.5777802
0.98828125,4.5777802
0.990234375,3.0518503
0.9921875,1.5259202
0.994140625,1.5259202
0.99609375,1.5259202
0.998046875,1.5259202
1,1.5259202
1.001953125,1.5259202
1.00390625,1.5259202
1.005859375,1.5259202
1.0078125,1.5259202
1.009765625,1.5259202
1.01171875,1.5259202
1.013671875,1.5259202
1.015625,1.5259202
1.017578125,1.5259202
1.01953125,1.5259202
1.021484375,1.5259202
1.0234375,1.5259202
1.025390625,1.5259202
1.02734375,1.5259202
1.029296875,1.5259202
1.03125,1.5259202
1.033203125,1.5259202
1.03515625,1.5259202
1.037109375,1.5259202
1.0390625,1.5259202
1.041015625,1.5259202
1.04296875,1.5259202
1.044921875,1.5259202
1.046875,1.5259202
1.048828125,1.5259202
1.05078125,1.5259202
1.052734375,1.5259202
1.0546875,1.5259202
1.056640625,1.5259202
1.05859375,1.5259202
1.060546875,1.5259202
1.0625,1.5259202
1.064453125,1.5259202
1.06640625,1.5259202
1.068359375,1.5259202
1.0703125,1.5259202
1.072265625,1.5259202
1.07421875,1.5259202
1.076171875,1.5259202
1.078125,1.5259202
1.080078125,1.5259202
1.08203125,1.5259202
1.083984375,1.5259202
1.0859375,1.5259202
1.087890625,1.5259202
1.08984375,1.5259202
1.091796875,1.5259202
1.09375,1.5259202
1.095703125,1.5259202
1.09765625,1.5259202
1.099609375,1.5259202
1.1015625,1.5259202
1.103515625,1.5259202
1.10546875,1.5259202
1.107421875,1.5259202
1.109375,1.5259202
1.111328125,1.5259202
1.11328125,1.5259202
1.115234375,1.5259202
1.1171875,1.5259202
1.119140625,1.5259202
1.12109375,1.5259202
