t,z2
0.0,0.0
0.0001,0.10363891524684307
0.0002,0.10457702578886904
0.00030000000000000003,0.1055171186294016
0.0004,0.10645902285265724
0.0005,0.10740257270981729
0.0006000000000000001,0.10834760738839327
0.0008,0.11024151132732404
0.001,0.11213953876788417
0.0012000000000000001,0.11404055967746332
0.0014000000000000002,0.11594350416161778
0.0016000000000000003,0.11784735724430866
0.0018000000000000004,0.1197511541172155
0.0022000000000000006,0.12355494526089415
0.0026000000000000007,0.12734800770752294
0.003000000000000001,0.1311240350722939
0.003400000000000001,0.13487719345218185
0.0038000000000000013,0.1386020458829076
0.0042000000000000015,0.14229348959030713
0.005000000000000002,0.14955710613174775
0.005800000000000002,0.1566321300489029
0.0066000000000000026,0.16348544902959067
0.007400000000000003,0.17008601467028292
0.008200000000000002,0.17640434921914744
0.009000000000000003,0.18241223397742268
0.010000000000000002,0.1894442845042664
0.011000000000000003,0.19589821010897968
0.012000000000000004,0.201725924786314
0.013000000000000005,0.20688237301052131
0.014000000000000005,0.21132612446147891
0.015000000000000006,0.2150201126799441
0.016000000000000007,0.21793244971864753
0.017000000000000008,0.22003724308797756
0.01800000000000001,0.22131533850256405
0.01900000000000001,0.2217549154616282
0.02000000000000001,0.221351874499318
0.02100000000000001,0.220109975015879
0.022000000000000013,0.2180407088107441
0.023000000000000013,0.21516292297483022
0.024000000000000014,0.21150223219847913
0.025000000000000015,0.20709028095125945
0.026000000000000016,0.20196392816778086
0.027000000000000017,0.19616443093122196
0.028000000000000018,0.1897367010662126
0.02900000000000002,0.18272870283243822
0.03000000000000002,0.17519105512298425
0.03100000000000002,0.16717690220236123
0.03200000000000002,0.15874212813757446
0.03300000000000002,0.14994601824004775
0.03400000000000002,0.14085252598496703
0.035000000000000024,0.1315324026455148
0.036000000000000025,0.12206661800227721
0.037000000000000026,0.11255179231969924
0.03800000000000003,0.10310884517810233
0.03900000000000003,0.09389681665990558
0.04000000000000003,0.08513471535054302
0.04100000000000003,0.07713417741944902
0.04200000000000003,0.07033979714291556
0.04300000000000003,0.06534830254451957
0.04400000000000003,0.0628208382489553
0.04500000000000003,0.0632017941238397
0.046000000000000034,0.06641829346950685
0.047000000000000035,0.07193552042330385
0.048000000000000036,0.07909000801924895
0.04900000000000004,0.08732206080816726
0.05000000000000004,0.0962247796610966
0.05100000000000004,0.1055139861441286
0.05200000000000004,0.11498868656739215
0.05300000000000004,0.12450131273064133
0.05400000000000004,0.13393823920693623
0.05500000000000004,0.14320752480419793
0.05600000000000004,0.15223123937362687
0.057000000000000044,0.160940638464403
0.058000000000000045,0.16927312769205582
0.059000000000000045,0.1771703865207882
0.060000000000000046,0.18457727609020194
0.06100000000000005,0.19144130462491304
0.06200000000000005,0.19771250942359384
0.06300000000000004,0.2033436614163845
0.06400000000000004,0.2082907213088819
0.06500000000000004,0.2125134842206156
0.06600000000000004,0.2159763485180758
0.06700000000000005,0.21864913910309652
0.06800000000000005,0.22050791013511856
0.06900000000000005,0.22153565096585964
0.07000000000000005,0.22172282494665652
0.07100000000000005,0.2210676851498732
0.07200000000000005,0.21957633327370416
0.07300000000000005,0.2172625153597815
0.07400000000000005,0.21414717631382424
0.07500000000000005,0.2102578201677252
0.07600000000000005,0.20562774109768225
0.07700000000000005,0.2002951998102598
0.07800000000000006,0.19430262156192696
0.07900000000000006,0.18769588816437968
