t,x1,y1,z1,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4999999942716607,0.5000000008183342,-7.007142821805744e-5,1.6366683564508673e-9,3.2733367173273187e-7,1.7571899339064424e-15
0.02,0.4999999083465744,0.5000000130933469,-0.00028028569365598917,2.618669403545031e-8,2.6186693975714053e-6,2.1384893550562745e-15
0.03,0.49999953600459646,0.5000000662850655,-0.0006306426229120722,1.3257014008784828e-7,8.838009439621576e-6,3.46666896332163e-15
0.04,0.499998533545931,0.5000002094935172,-0.0011211415416464805,4.189871226634332e-7,2.0949357088607156e-5,1.3836417668319115e-15
0.05,0.499996419792647,0.500000511458663,-0.0017517806965770856,1.022917849979891e-6,4.091671872113383e-5,2.511652911501454e-15
0.060000000000000005,0.4999925760924997,0.5000010605602342,-0.0025225564462780944,2.1211227190232187e-6,7.070410770861143e-5,1.1096345227132573e-15
0.08,0.49997653692398997,0.5000033518881694,-0.004484487244741731,6.703798924535399e-6,1.5818903007547487e-17,9.729845733713482e-8
0.1,0.49994606966858757,0.5000048314268363,-0.007006851797831347,9.662900666510394e-6,3.544529334461843e-17,8.838936483201771e-8
0.12000000000000001,0.4998911211369351,0.5000070703235546,-0.01008943178242897,1.4140747691688077e-5,3.361480444608709e-17,1.9669780451666094e-7
0.14,0.4998011708303591,0.5000102256001752,-0.013731858207630438,2.0451410500008475e-5,4.509411067654821e-17,3.830747963609274e-7
0.16,0.4996638211482232,0.5000144541767878,-0.01793352856402609,2.890877301576806e-5,2.995399637897843e-18,6.782419475580846e-7
0.18,0.49946480432040957,0.500019912807224,-0.022693524120486745,3.982640982515277e-5,7.479477372133684e-17,1.1179771700625368e-6
0.22,0.4988012474840572,0.5000493327595096,-0.03388185641468458,9.867045035396758e-5,4.427876096542942e-17,8.5987466153602e-6
0.26,0.4977588071367953,0.5000000020844683,-0.047288225295206196,4.2052958489453094e-9,7.552211615350567e-10,4.430507115301324e-5
0.3,0.4960313329671177,0.5000000013499001,-0.0628722582421322,2.7418986915463066e-9,2.9691910249156715e-9,5.230628865017768e-5
0.33999999999999997,0.49346205996448567,0.5000000017772976,-0.0805928088022153,3.6081209514210537e-9,5.63705896284435e-9,8.849910389742416e-5
0.37999999999999995,0.48981982242957983,0.5000000027770879,-0.10038202055493112,5.623871877113497e-9,1.1192109832915605e-8,0.0001405650003952643
0.41999999999999993,0.4848513091447663,0.5000000042717633,-0.12214426326949043,8.633343786758637e-9,2.0993786506250067e-8,0.00021223564776109958
0.49999999999999994,0.4698307587931572,0.5000000231272838,-0.1710530036650864,4.7353896242936635e-8,2.468254664534122e-7,0.0014956620041282013
0.58,0.44611431733360923,0.5000000226858233,-0.2257921295042689,4.614514385207394e-8,8.300743746849489e-7,0.002745472439106801
0.6599999999999999,0.4114872190281754,0.5000000192189509,-0.28403930598982313,3.8934387287887914e-8,2.013466545902393e-6,0.004549660118584297
0.7399999999999999,0.3641672694515324,0.5000000149317594,-0.3426109240762903,3.018379950448344e-8,4.141343084539812e-6,0.006917022032583138
0.8199999999999998,0.3032355809006573,0.5000000214902833,-0.3975528237358387,4.3416901076652706e-8,7.541727397492317e-6,0.009735204399276338
0.8999999999999998,0.2290527288007727,0.5000000288550244,-0.4444490238540511,5.8356349421228147e-8,1.2463379080378859e-5,0.012743802661763884
0.9999999999999998,0.12063861732516142,0.5000000223284957,-0.48522818452712513,4.485080112961438e-8,3.222241066793886e-5,0.024808176545140826
