t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,2137.1706080316694,-849.124152433577,620.3160645718708,2794.903125967999,-747.0129057998978,983.1187541969886,1628.6527400003313,-671.9118679966838,-17.63839392365531,1.7226395100830207e-6,8.307880562267664e-7,1.7771564755572908e-9,1.98763850145588e-7
0.0002,2137.170608126961,-849.1241495257951,620.3160644876671,2794.9031258717096,-747.0129027890512,983.1187541879805,1628.6527400013297,-671.9118688903459,-17.638393934589523,3.4452841510554236e-6,7.423878255178135e-7,1.4217046454793732e-8,5.979843752778016e-7
0.00030000000000000003,2137.1706082857586,-849.124144680135,620.3160643473141,2794.903125711248,-747.0128977717658,983.118754172965,1628.652740002993,-671.9118703795108,-17.63839395281548,5.167943367173217e-6,7.853612401404055e-7,4.798222413521646e-8,9.965121513383884e-7
0.0004,2137.17060850808,-849.1241378961059,620.3160641508225,2794.903125486597,-747.012890747436,983.1187541519439,1628.6527400053217,-671.9118724643854,-17.638393978331422,6.890626587926192e-6,8.116882087278482e-7,1.1373525352557004e-7,1.3951365092965314e-6
0.0005,2137.1706087939306,-849.1241291735541,620.3160638981963,2794.903125197752,-747.0128817158678,983.1187541249175,1628.6527400083162,-671.9118751450352,-17.638394011136644,8.613343245044657e-6,7.702421899550063e-7,2.2213869334434504e-7,1.7937925876698787e-6
0.0006000000000000001,2137.1706091432943,-849.1241185129765,620.316063589425,2794.9031248447286,-747.012870677675,983.1187540918844,1628.6527400119758,-671.9118784212498,-17.63839405123295,1.0336102770810644e-5,8.089052238049022e-7,3.838550938339889e-7,2.19234880071323e-6
0.0008,2137.170610032596,-849.1240913768454,620.3160628034706,2794.903123946111,-747.0128425802877,983.1187540078015,1628.6527400212915,-671.9118867607531,-17.638394153294904,1.3781732393665108e-5,8.293584152226769e-7,9.098790842449112e-7,5.580538331546963e-6
0.001,2137.1706111759986,-849.1240564875917,620.3160617929686,2794.9031227907303,-747.0128064550943,983.1187538996968,1628.65274003327,-671.9118974829462,-17.638394284515808,1.7227629508539246e-5,7.876848123698799e-7,1.7771058929608467e-6,7.174951022758666e-6
0.0012000000000000001,2137.170612573492,-849.1240138459032,620.3160605579137,2794.903121378596,-747.0127623029066,983.1187537675695,1628.652740047911,-671.9119105875362,-17.638394444896825,2.0673869567545072e-5,8.267635474883345e-7,3.070835451055975e-6,8.769213561169678e-6
0.0014000000000000002,2137.1706142250932,-849.1239634516908,620.316059098319,2794.9031197096897,-747.0127101235651,983.1187536114217,1628.6527400652155,-671.9119260745601,-17.638394634435905,2.4120528018086475e-5,8.40009118506478e-7,4.876367376935229e-6,1.0363480381732782e-5
