t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.032,2985.5452251856996,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.286707310230973e-15,8.067629379581402e-15,-2.5850812350514593e-15,-7.929399481312502e-15,1.6161262071633668e-31,6.4421427697610174e-15,-9.476626077785765e-15,-8.569138795971014e-31,0.4525483399589788,14.14213562373095,1.1313783219777884e-13
0.036000000000000004,2985.5852251856995,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.446131746918174e-15,7.6554981480556e-15,-3.4725349493368594e-15,-5.5225279796509486e-15,1.7097750594397466e-31,5.56503909417106e-15,-1.1668113504148373e-14,-1.2471022869250422e-30,0.5091168824538512,14.142135623730951,5.829279016856365e-14
0.044000000000000004,2985.6652251856995,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.342828995586963e-15,5.334934066116609e-15,-1.0305364233660972e-14,-7.983104287996875e-15,1.1855256973740833e-30,1.2549972087649322e-14,-6.7909742843814794e-15,-3.287431850415914e-31,0.6222539674435958,14.142135623730951,7.922432241506599e-14
0.052000000000000005,2985.7452251856994,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-2.1631597931872187e-14,8.642893706195669e-15,-7.622383709178256e-15,-9.735006670499825e-15,1.1451664136560162e-30,1.2551269694579717e-14,-2.352116126425605e-14,-2.8378412805980736e-30,0.7353910524333406,14.14213562373095,8.60789267396315e-14
0.060000000000000005,2985.8252251856993,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-3.191293003633082e-14,1.6493989970826588e-14,-5.913613266434962e-16,-1.4908814613116654e-14,1.1058399107076699e-30,9.504398403781284e-15,-3.369903084939872e-14,-2.1576397255696472e-30,0.8485281374230853,14.142135623730951,7.160516657116445e-14
0.068,2985.9052251856992,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-3.4821609190894283e-14,1.8830259934288673e-14,-5.4331387789598396e-15,-1.0608739798873054e-14,1.2084742598340859e-30,1.4654180643116724e-14,-4.4344494708048015e-14,-1.3645014806166477e-30,0.9616652224128299,14.142135623730953,1.216585345113993e-13
0.07600000000000001,2985.985225185699,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.7893456164047684e-14,2.964052254898125e-14,8.738442154218702e-15,-1.0831414018469595e-14,1.3114827521404398e-30,-6.496254489116395e-15,-6.263313041488375e-14,-1.227422970799648e-30,1.0748023074025748,14.14213562373095,8.811526177375936e-14
0.08400000000000002,2986.065225185699,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.550916696629011e-14,3.888193608743237e-14,1.9167895491049028e-14,-1.2327678561396294e-14,1.4402369171008092e-30,-1.8848861642254047e-14,-8.763713474991913e-14,2.136727172676953e-31,1.1879393923923194,14.142135623730953,2.913878751358343e-13
0.09400000000000001,2986.165225185699,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.863384245086821e-14,3.8455875002433073e-14,1.858704681403923e-14,-7.2399101048608e-15,1.9410672382569167e-30,-1.6116136116847617e-14,-8.862099864673882e-14,2.6316537067565656e-30,1.3293607486295003,14.142135623730951,6.928769962581882e-14
0.10400000000000001,2986.265225185699,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.620366686199698e-14,2.86856242773803e-14,2.168036313116291e-14,-7.447308402625838e-15,1.903454809394106e-30,-1.684249918533207e-14,-6.741544483370224e-14,-8.615680439244203e-31,1.4707821048666812,14.14213562373095,7.857744139782943e-14
0.114,2986.365225185699,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.592098544622318e-14,2.304818648655705e-14,2.9983159485785886e-14,-4.9851082846911505e-15,2.08503894361959e-30,-2.818333563400613e-14,-7.741583420362645e-14,-6.364731347992216e-30,1.612203461103862,14.142135623730951,1.0333470109429933e-13
0.124,2986.4652251856987,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.3578088940309326e-14,2.3915000639160385e-14,2.321135859504183e-14,-6.339329230878584e-15,2.168130495072252e-30,-2.427734572047162e-14,-6.242557205038139e-14,-6.043163442405295e-30,1.753624817341043,14.142135623730951,3.44598765455853e-14
0.134,2986.5652251856986,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.280770450836817e-14,3.017582306434756e-14,3.1459261356508583e-14,-9.870813239962411e-15,2.257052659586608e-30,-2.3787233333342975e-14,-7.253700830180259e-14,-5.697516140494128e-30,1.8950461735782238,14.14213562373095,1.474371015329434e-13
0.14400000000000002,2986.6652251856985,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.188490757957887e-14,2.5088736882048682e-14,3.0914154665651984e-14,-5.798490894705333e-15,2.9732278241920278e-30,-1.547112981335909e-14,-8.556799690241362e-14,-4.6711365074078754e-30,2.036467529815405,14.142135623730951,1.930616641998413e-13
0.15400000000000003,2986.7652251856985,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.373952399594388e-14,1.0679068242877076e-14,2.3456109429194892e-14,-4.247595710702181e-15,2.688229368928054e-30,-2.868265418753667e-16,-5.832095587084162e-14,-1.7423467159781667e-29,2.177888886052586,14.142135623730951,1.0501524837414779e-13
0.16400000000000003,2986.8652251856984,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.523286042515092e-14,1.607995831056231e-14,1.6929718529987623e-14,-3.994073570546931e-15,2.593348099860581e-30,2.0725103696472614e-15,-5.3996981323090736e-14,-1.884291456259789e-29,2.3193102422897662,14.14213562373095,1.1068728788444222e-13
0.17400000000000004,2986.9652251856983,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.496385068003189e-14,2.290204110597491e-14,1.4258519271443957e-14,-5.2397588235146025e-15,2.347283248296202e-30,7.979335801125445e-15,-5.5928580948627186e-14,-2.2679754212198898e-29,2.4607315985269476,14.14213562373095,2.4653931526454267e-14
0.18400000000000005,2987.065225185698,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.155723925725585e-14,3.8280959701547205e-14,2.5473614486285445e-14,-6.928150353007866e-15,1.6963529693163546e-30,-3.583567606366881e-15,-7.605300705232724e-14,-3.1591320624100436e-29,2.602152954764128,14.14213562373095,8.658686279242956e-14
0.19400000000000006,2987.165225185698,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.382949729430805e-14,4.3801506611557564e-14,2.8197603540210902e-14,-3.522510516428168e-15,8.30916968563421e-31,-4.656046353435714e-15,-7.103341343283079e-14,-3.2870439804662467e-29,2.7435743110013093,14.14213562373095,8.315027777958333e-14
0.20400000000000007,2987.265225185698,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.719201929759967e-14,4.266745238659878e-14,2.3003582854388724e-14,-7.3384170211754e-15,-2.584692332204371e-32,9.248231269853874e-15,-5.705503915200459e-14,-3.6237097739777927e-29,2.8849956672384898,14.142135623730946,6.427583442686345e-14
0.21400000000000008,2987.365225185698,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.4572259905043604e-14,4.437520425486516e-14,2.515746545230328e-15,-7.168572976957214e-15,-1.9384812621192117e-30,2.589121954671987e-14,-5.500234305734054e-14,-3.918730313439977e-29,3.026417023475671,14.142135623730946,1.593740420709379e-13
0.2240000000000001,2987.465225185698,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-3.6644563487872233e-14,5.0636722048998103e-14,1.5276006335052667e-14,-1.1505764798784544e-14,-3.543901298682227e-30,1.7092820779849012e-14,-4.208249734481226e-14,-4.3586363617237303e-29,3.1678383797128515,14.142135623730946,5.32984274820874e-14
0.2340000000000001,2987.5652251856977,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.138255190258793e-14,5.252474174632175e-14,3.6892951274140486e-14,-9.045428825439845e-15,-4.803837020981753e-30,-1.2893830077950382e-14,-4.937809045256522e-14,-4.5875317238116e-29,3.309259735950033,14.142135623730946,9.041337246676703e-14
0.2440000000000001,2987.6652251856976,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.6350366603506957e-14,5.885887669577642e-14,4.507510684900435e-14,-1.2129217934812282e-14,-6.0888137119251686e-30,-1.9925475721924657e-14,-5.370391252802477e-14,-4.9877142608420035e-29,3.4506810921872133,14.14213562373095,5.0701300651811324e-14
0.2540000000000001,2987.7652251856975,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.4741965814968e-14,7.34530510741912e-14,4.802818330510739e-14,-1.4254948052341677e-14,-7.494647549668875e-30,-2.9444313845784936e-14,-6.652935779601362e-14,-5.602023452759825e-29,3.592102448424394,14.142135623730946,1.1410088607742082e-13
0.2640000000000001,2987.8652251856975,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.916939736759777e-14,9.960104307641994e-14,6.797779448185372e-14,-9.823199850272361e-15,-8.766971734809523e-30,-6.284394771785006e-14,-1.0133800444645971e-13,-5.702681744316399e-29,3.733523804661575,14.142135623730946,1.5745237616834766e-13
0.27400000000000013,2987.9652251856974,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.700452574895985e-14,1.0858013927862186e-13,7.031587800317991e-14,-1.2154974388509046e-14,-1.0488295169346299e-29,-6.99544440937159e-14,-1.138083158554637e-13,-6.110177925155876e-29,3.874945160898756,14.142135623730946,3.3662582369363186e-14
