t,x1,y1,z1,x2,y2,z2,x3,y3,z3,x1d,y1d,z1d,x2d,y2d,z2d,x3d,y3d,z3d
0.724000000000001,2992.46522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.06223488624902e-13,1.31581024198055e-13,-1.58697591249827e-13,-6.68550750866828e-14,-1.20132622903371e-28,3.27900896950213e-13,-1.51975578475857e-13,5.86000815310891e-30
0.734000000000001,2992.56522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.04810209955607e-13,1.31547097019095e-13,-1.52608596983517e-13,-7.01641204991548e-14,-1.22976138608259e-28,3.28544748612177e-13,-1.47333897800139e-13,2.03521868328657e-30
0.744000000000001,2992.66522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.03420551935052e-13,1.30411959324269e-13,-1.51801904615425e-13,-6.9782522940368e-14,-1.2559840769955e-28,3.33277915233312e-13,-1.42943840097334e-13,1.90751114383206e-31
0.754000000000001,2992.76522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.04741701051497e-13,1.39670162456072e-13,-1.45231878026854e-13,-7.10654425204532e-14,-1.28222598273935e-28,3.2427359574353e-13,-1.49909115187221e-13,-6.27057758467213e-30
0.764000000000001,2992.86522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.38551240541888e-14,1.29482822960312e-13,-1.37701565750118e-13,-6.81617345756944e-14,-1.31427621256385e-28,3.16669382585714e-13,-1.30797776408276e-13,-1.26934547228157e-29
0.774000000000001,2992.96522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.45620286634006e-14,1.26537584076835e-13,-1.2994998768976e-13,-6.55753811033646e-14,-1.34442745108038e-28,3.15677315992178e-13,-1.33335046675513e-13,-1.61314455494868e-29
0.784000000000001,2993.06522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.21606369341837e-14,1.31513077501898e-13,-1.32425844127433e-13,-6.66259265202304e-14,-1.37557579323813e-28,3.1158634066314e-13,-1.33185912610518e-13,-2.03035792536585e-29
0.794000000000001,2993.16522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.49431212321261e-14,1.3140259928601e-13,-1.40011055770845e-13,-6.48027129181974e-14,-1.40655189842903e-28,3.26065766366285e-13,-1.40697557892657e-13,-2.41756072929506e-29
0.804000000000001,2993.26522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.34554009269772e-14,1.28333771212247e-13,-1.3240174167024e-13,-6.62028721957285e-14,-1.44172677897891e-28,3.28289620367485e-13,-1.31974191312403e-13,-2.81108498194653e-29
0.814000000000001,2993.36522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.149088093474e-14,1.26753965808514e-13,-1.45268897471143e-13,-6.22533330174743e-14,-1.47764566393969e-28,3.31259184985885e-13,-1.2192548068341e-13,-3.38207486452683e-29
0.824000000000001,2993.46522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.86542961912307e-14,1.22470399730579e-13,-1.46693942444688e-13,-5.79170971316807e-14,-1.51649674776157e-28,3.29643252642454e-13,-1.20793446988911e-13,-3.84912639072419e-29
0.834000000000001,2993.56522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.27313929288795e-14,1.18519651790926e-13,-1.53330197013487e-13,-5.88274658808764e-14,-1.55576800168156e-28,3.3702010074983e-13,-1.05475313025187e-13,-4.51109772632685e-29
0.844000000000001,2993.66522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.71379708328283e-14,1.13734142442273e-13,-1.5574787833181e-13,-5.51799953567882e-14,-1.58645273405016e-28,3.33289323788896e-13,-1.01709997316521e-13,-4.74509087264888e-29
0.854000000000001,2993.76522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.31790563675603e-14,1.07538713689397e-13,-1.51873033431368e-13,-5.10653620649514e-14,-1.62125683520742e-28,3.26004599751513e-13,-1.01782016955113e-13,-5.19463535873372e-29
0.864000000000001,2993.86522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.72687212626834e-14,1.03426332150411e-13,-1.42953690005268e-13,-5.1271721743122e-14,-1.65448370767125e-28,3.13288570953e-13,-9.34427367968169e-14,-5.58641781689323e-29
0.874000000000001,2993.96522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.56253516539125e-14,1.05493188513955e-13,-1.34623600698565e-13,-5.66913801078572e-14,-1.68218984185585e-28,3.06138365192198e-13,-9.8261908207435e-14,-5.91039955461548e-29
0.884000000000001,2994.06522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.56108943880156e-14,1.08207611352503e-13,-1.27532140667756e-13,-5.25899157675265e-14,-1.70479280055943e-28,2.9597090694845e-13,-1.02040072434097e-13,-6.36913958615992e-29
0.894000000000001,2994.16522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.86993633324915e-14,1.1089829323878e-13,-1.23767741633279e-13,-5.23817464372644e-14,-1.72233847684462e-28,2.88824578606702e-13,-1.10712655031192e-13,-6.68819106946446e-29
0.904000000000001,2994.26522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.15329152925537e-14,1.14680654751895e-13,-1.2818312573613e-13,-5.05531578321556e-14,-1.74472693766591e-28,2.93152370728453e-13,-1.18476308577127e-13,-6.92921861140615e-29
0.914000000000001,2994.36522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.78953177104702e-14,1.10199364542679e-13,-1.21443975666617e-13,-4.79985154147741e-14,-1.76824683801224e-28,2.88985560840718e-13,-1.0835247640851e-13,-7.06643419920572e-29
0.924000000000001,2994.46522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.41664588187909e-14,1.10379566570056e-13,-1.26645911869186e-13,-4.63271675015815e-14,-1.79701064277231e-28,2.91532497535577e-13,-1.06722408487437e-13,-7.31617032507486e-29
0.934000000000001,2994.56522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.17420358226116e-14,1.06467664535351e-13,-1.34745004034853e-13,-4.25004145815118e-14,-1.82590103072495e-28,3.08870231086023e-13,-1.11838716558699e-13,-7.4972596992089e-29
0.944000000000001,2994.66522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.02194576874493e-14,1.12572589152177e-13,-1.46172978090076e-13,-4.24111659436886e-14,-1.85928389841551e-28,3.2801008363164e-13,-1.29654192375877e-13,-7.78788900378494e-29
0.954000000000001,2994.76522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.63045526813563e-14,1.1073241049759e-13,-1.54125556051602e-13,-4.17683569390121e-14,-1.89115311052045e-28,3.36293722230878e-13,-1.22329615468719e-13,-7.97348546280418e-29
0.964000000000001,2994.86522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.61844980668811e-14,1.15487934718545e-13,-1.58585656251731e-13,-4.22780189719223e-14,-1.92367756006539e-28,3.45118844807074e-13,-1.29173704510745e-13,-8.30452166565004e-29
0.974000000000001,2994.96522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.03075076185985e-14,1.04479649724667e-13,-1.58975650515823e-13,-3.63439501920909e-14,-1.96380298963863e-28,3.42768904320231e-13,-1.20090499552862e-13,-8.67378826051285e-29
0.984000000000001,2995.06522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.85358580506223e-14,1.04122307078213e-13,-1.62560681958097e-13,-3.01216208793895e-14,-2.0029889875581e-28,3.417870938281e-13,-1.24478264471965e-13,-8.9685186084814e-29
0.994000000000001,2995.16522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.98797717084359e-14,9.64906103370218e-14,-1.63612012110907e-13,-2.8063463568934e-14,-2.04215908338797e-28,3.50001071473429e-13,-1.29166688395636e-13,-9.28400826123199e-29
1.004,2995.26522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.6052122497584e-14,9.7910423123809e-14,-1.52003534787994e-13,-2.64006754665529e-14,-2.08151205551502e-28,3.3237979275546e-13,-1.38685044542433e-13,-9.63076775753393e-29
