t,x1,y1,z1,x2,y2,z2,x3,y3,z3,x1d,y1d,z1d,x2d,y2d,z2d,x3d,y3d,z3d
0.184,2987.0652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.69096193631215e-14,2.88329724364796e-14,-8.66534121385979e-14,5.22849028830173e-15,-1.32277443556803e-32,9.28131400216453e-14,-6.35699648396293e-14,-1.20623762598862e-29
0.194,2987.1652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-3.68922189867118e-14,4.06877336596084e-14,-9.00625188206491e-14,5.23261713661716e-15,-1.02990931347554e-31,9.61484894166077e-14,-9.69206420888808e-14,-1.08838205089173e-29
0.204,2987.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.4809362371792e-14,3.93291965270709e-14,-8.50867765533696e-14,-1.41456387573298e-15,-4.35206378361083e-31,9.97936048083691e-14,-9.39163976781961e-14,-8.43708927436207e-30
0.214,2987.3652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.51600242148677e-14,3.95699914333889e-14,-8.80006621031499e-14,-1.29763930794347e-15,-4.3438218836182e-31,1.05056110979265e-13,-9.33681096590317e-14,-8.35947510190054e-30
0.224,2987.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.37859737308224e-14,3.72643974594528e-14,-9.80495797731809e-14,5.31454806396492e-16,-1.32799060700671e-31,1.21329241009067e-13,-8.91758603656293e-14,-8.24142938171455e-30
0.234,2987.5652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.30641857807046e-14,3.32202649583946e-14,-1.04188284986526e-13,-2.038175340574e-15,3.89571311041151e-32,1.34770710960154e-13,-8.60672124023305e-14,-7.09515838822323e-30
0.244,2987.6652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.6537112099272e-14,4.18638916929576e-14,-1.14887380037398e-13,1.81253964780267e-15,-6.53093704843951e-31,1.43001242540051e-13,-9.87379304974069e-14,-8.06947993211049e-30
0.254,2987.7652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.16684693164908e-14,4.16108479875545e-14,-1.17600938680348e-13,3.61184360144694e-17,-1.36884701740074e-30,1.40756544685926e-13,-8.67416802620046e-14,-9.76172957095679e-30
0.264,2987.8652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.32554176105231e-14,3.87307297225274e-14,-1.17726372829419e-13,2.32160172295248e-15,-1.92864801252018e-30,1.35753215124434e-13,-8.66863497234479e-14,-9.39857279155974e-30
0.274,2987.9652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-3.66472584386871e-14,4.64713138236906e-14,-1.20786642999604e-13,-2.91196014013762e-15,-2.695144397409e-30,1.38769893928823e-13,-7.45290460892274e-14,-9.21045267241108e-30
0.284,2988.0652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.34373067758731e-14,6.63155101697667e-14,-1.09317657637108e-13,-1.12715821208394e-14,-3.260253959773e-30,1.21394836805797e-13,-9.2971121495101e-14,-1.38850970911461e-29
0.294,2988.1652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.16157356087471e-14,6.18119743600756e-14,-1.13738781116477e-13,-6.36647176261962e-15,-3.55169673858231e-30,1.29316754964992e-13,-7.58149127865404e-14,-1.35191727924304e-29
0.304,2988.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.20364032906706e-14,6.29889766287369e-14,-1.1844509859227e-13,-7.31443753670111e-15,-3.84804259389593e-30,1.42682791582716e-13,-7.51540393909219e-14,-1.27922095794286e-29
0.314,2988.3652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.10636857850477e-14,5.95498553388325e-14,-1.2879322888445e-13,-3.45613656105001e-15,-5.40838717200404e-30,1.53847642478385e-13,-8.18726610886082e-14,-1.47829362554409e-29
0.324,2988.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-3.20559250585918e-14,6.54291464602524e-14,-1.28502913520209e-13,-1.27076775883845e-15,-7.27956567428613e-30,1.45095620301387e-13,-7.16781158523793e-14,-1.52962440803702e-29
0.334,2988.5652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-3.32637685623235e-14,7.67143754612203e-14,-1.34775387982149e-13,-9.42138901667928e-15,-8.72586085274391e-30,1.5551493835499e-13,-7.26572188735877e-14,-1.58270281345735e-29
0.344,2988.6652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.51732882069156e-14,8.01026167994501e-14,-1.36374009644451e-13,-1.37257777228022e-14,-1.03750859154682e-29,1.63232844454455e-13,-8.23535134267938e-14,-1.80869698531385e-29
0.354,2988.7652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.61906693086349e-14,9.97774036113207e-14,-1.50814210886012e-13,-1.70323534567047e-14,-1.20131138681449e-29,1.72033541262168e-13,-1.03038367940795e-13,-1.87441132172494e-29
0.364,2988.8652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.15415998492142e-14,1.11284768862914e-13,-1.48619934485214e-13,-2.32404379911536e-14,-1.37535951687925e-29,1.75994318600854e-13,-1.14373969761916e-13,-1.78196080756359e-29
0.374,2988.9652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.0025253503307e-14,1.16754166855582e-13,-1.45524925968992e-13,-2.55865349103684e-14,-1.50969947775824e-29,1.812187180409e-13,-1.14459867015897e-13,-1.45381003471578e-29
0.384,2989.0652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.98102241310685e-14,1.22015905122639e-13,-1.5844599320305e-13,-2.79799769855039e-14,-1.66475596165419e-29,2.08268507508057e-13,-1.16938289655882e-13,-1.3272970910614e-29
0.394,2989.1652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.70609028336827e-14,1.29592475408535e-13,-1.71155022100347e-13,-3.03976079794085e-14,-1.96765465373525e-29,2.2718721589387e-13,-1.27145811177671e-13,-1.30312261266045e-29
0.404,2989.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.06605293496614e-14,1.29161667932866e-13,-1.64517023398117e-13,-3.33228524560923e-14,-2.27035583013099e-29,2.27317046073209e-13,-1.3154883080709e-13,-1.46970583624658e-29
0.414,2989.3652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.4157781913013e-14,1.35572717022699e-13,-1.75634179599396e-13,-4.14709317507441e-14,-2.68432748790903e-29,2.51615606191201e-13,-1.30612417886823e-13,-1.52886260983728e-29
0.424,2989.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.37419516858943e-14,1.42639995497132e-13,-1.75005115406501e-13,-4.47140703473832e-14,-3.09306935714197e-29,2.53922375131684e-13,-1.43186263183416e-13,-1.66097590310987e-29
0.434,2989.5652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.79642575703246e-14,1.42583980484172e-13,-1.96794079004114e-13,-5.01141548406605e-14,-3.48743846636737e-29,2.90514568580487e-13,-1.23405639937615e-13,-1.90524223936064e-29
0.444,2989.6652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.7450675328623e-14,1.40113385994948e-13,-1.94345032918914e-13,-5.28285567699069e-14,-3.89504040562969e-29,2.85751356351487e-13,-1.15807416405076e-13,-2.10432612006466e-29
0.454,2989.7652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.74451868621779e-14,1.53300704591824e-13,-1.76487548289001e-13,-5.6002883819624e-14,-4.25470829800556e-29,2.63352436228133e-13,-1.28538108400232e-13,-2.29221517409376e-29
0.464,2989.8652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.57041314449976e-14,1.52217266812219e-13,-1.80377603655402e-13,-6.17457028170653e-14,-4.59406108568748e-29,2.78103459345778e-13,-1.37869655630448e-13,-2.28659619447322e-29
0.474,2989.9652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.17454359532637e-14,1.51308073924571e-13,-1.86785652341232e-13,-6.24127524448885e-14,-4.87562681332584e-29,2.84641711257233e-13,-1.3600763499227e-13,-2.32186430156042e-29
0.484,2990.0652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.85302158799004e-14,1.51936638773286e-13,-1.91704074851876e-13,-6.37019948052227e-14,-5.09579030323971e-29,2.99825636222193e-13,-1.43940738912062e-13,-2.11830609571505e-29
0.494,2990.1652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.53608785582565e-14,1.52936859222879e-13,-1.89555738145839e-13,-6.14076856723342e-14,-5.40990996867908e-29,2.97525161067952e-13,-1.4427472526315e-13,-1.90180906773183e-29
0.504,2990.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.32838843796428e-14,1.54907051698477e-13,-1.92756736686875e-13,-5.91487239577455e-14,-5.78167498205075e-29,3.01994102515318e-13,-1.47675081085464e-13,-1.75501581799107e-29
0.514,2990.3652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.87120810508425e-14,1.46971610172564e-13,-1.99402232576681e-13,-5.19263408653996e-14,-6.14217902781599e-29,3.03497953552171e-13,-1.61348731116442e-13,-1.69511588322585e-29
0.524,2990.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.47135905489942e-14,1.37947071852221e-13,-2.05544302722411e-13,-5.27637109315349e-14,-6.41264231922725e-29,3.17531144425938e-13,-1.49245008863625e-13,-1.48562242431822e-29
