t,y,v
4.411201846064233822e-01,4.555068030435902721e-02,-4.327389010989014295e+00
4.511201846064233911e-01,1.786290194468853620e-03,-4.425489010989014815e+00
4.514068878648175298e-01,5.170848901210254017e-04,-4.428301569953861261e+00
4.514560610283380737e-01,2.993194326133508890e-04,-4.428783958687997568e+00
4.515052341918586176e-01,8.153025452557218205e-05,-4.429266347422133876e+00
4.515167020678768628e-01,3.073533213430478976e-05,-4.429378847285873277e+00
4.515281699438951080e-01,-2.005923090196661993e-05,-4.428790969468527905e+00
4.515391452407048756e-01,-6.865911440006761970e-05,-4.427440304039498287e+00
4.516488982088025517e-01,-5.538414513517651112e-04,-4.413896502234353925e+00
4.520845685281980608e-01,-2.464849523375266596e-03,-4.358150218568315637e+00
4.529287961859986278e-01,-6.093320367224308413e-03,-4.233339531011900192e+00
4.542161779411423295e-01,-1.138947974447180982e-02,-3.980167570965267743e+00
4.557629802424600363e-01,-1.723345007968947462e-02,-3.552282035275397210e+00
4.573634187437415344e-01,-2.246441979750092577e-02,-2.959850916864307457e+00
4.589450895619574533e-01,-2.659227823369199328e-02,-2.239858995595803481e+00
4.604693224556409281e-01,-2.941489680765129594e-02,-1.451783203639235964e+00
4.619008941662390844e-01,-3.093375847721300739e-02,-6.663403969019053852e-01
4.630257890214631300e-01,-3.133339250887227923e-02,-4.569634250346199522e-02
4.641506838766871756e-01,-3.104374055381379713e-02,5.558536522778414479e-01
4.652504382409075601e-01,-3.012515818722604974e-02,1.107212713321917619e+00
4.665380015824043269e-01,-2.831833594982459748e-02,1.685678691648619054e+00
4.679680983010100492e-01,-2.551010772043572211e-02,2.221315690204931137e+00
4.695133799996666357e-01,-2.172187484694705281e-02,2.655767186705579874e+00
4.711388541141176556e-01,-1.714687739021689486e-02,2.945055565176912360e+00
4.728112117868738529e-01,-1.209138817689240676e-02,3.074241278439373559e+00
4.745174609086021400e-01,-6.840870750853672404e-03,3.058591676880437316e+00
4.762584393258780802e-01,-1.612151884946387038e-03,2.934509273068046653e+00
4.767891359471677637e-01,-6.799397987360881850e-05,2.884408118345781702e+00
4.768041638747415045e-01,-2.465817635669907394e-05,2.882961107159605518e+00
4.768191918023152454e-01,1.865772547221219210e-05,2.882111454211531587e+00
4.768328181656474318e-01,5.792951256165541890e-05,2.881977779587242772e+00
4.769690817989692966e-01,4.505472010111507934e-04,2.880641033344355062e+00
4.783317181321879441e-01,4.366705841012417932e-03,2.867273570915480185e+00
4.883317181321879530e-01,3.254894155016724300e-02,2.769173570915480109e+00
4.983317181321879619e-01,5.975017725932206536e-02,2.671073570915480033e+00
5.083317181321879152e-01,8.597041296847673930e-02,2.572973570915480401e+00
5.183317181321879241e-01,1.112096486776315701e-01,2.474873570915480325e+00
5.283317181321879330e-01,1.354678843867863913e-01,2.376773570915480249e+00
5.383317181321879419e-01,1.587451200959412168e-01,2.278673570915480173e+00
5.483317181321879508e-01,1.810413558050960325e-01,2.180573570915480097e+00
5.583317181321879596e-01,2.023565915142508387e-01,2.082473570915480021e+00
5.683317181321879685e-01,2.226908272234056629e-01,1.984373570915479945e+00
5.783317181321879774e-01,2.420440629325604776e-01,1.886273570915479869e+00
5.883317181321879863e-01,2.604162986417152825e-01,1.788173570915479793e+00
5.983317181321879952e-01,2.778075343508700779e-01,1.690073570915479717e+00
6.083317181321880041e-01,2.942177700600248635e-01,1.591973570915479641e+00
6.183317181321880129e-01,3.096470057691796951e-01,1.493873570915479565e+00
6.283317181321880218e-01,3.240952414783345170e-01,1.395773570915479489e+00
6.383317181321880307e-01,3.375624771874893293e-01,1.297673570915479413e+00
6.483317181321880396e-01,3.500487128966441319e-01,1.199573570915479337e+00
