x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.6567163020695288,0.0,0.0,-0.6473635432266969,0.0,0.0,0.22963565634261962,0.0
0.0,0.0,0.0,0.0,1.356812379959178,-0.05273253466295241,0.0,2.8190898292422455,-0.22963565634261962,0.0,0.7621813713962162
0.0,0.0,0.0,0.0,-0.05273253466295241,0.06208529350578429,0.0,0.22963565634261962,2.8190898292422455,0.0,0.6473635432249064
0.0,0.0,0.0,-0.6473635432266969,0.0,0.0,0.7621813713954336,0.0,0.0,2.8190898292422455,0.0
-1.0,0.0,0.0,0.0,2.8190898292422455,0.22963565634261962,0.0,0.0,0.0,0.0,0.0
0.0,-1.0,0.0,0.0,-0.22963565634261962,2.8190898292422455,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.22963565634261962,0.0,0.0,2.8190898292422455,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7621813713962162,0.6473635432249064,0.0,0.0,0.0,0.0,0.0
