t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.0,2985.2252251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541
0.005,2983.6993625461737,-1000.4810943585517,634.2421197980465,3601.2424357137484,-850.296858070302,999.1793375085977,2478.5946320442636,-831.8528320435161,-16.607323663467692
0.01,2982.016223826739,-1000.5209999133604,634.2437932817962,3599.573702671135,-850.3891691550267,999.1798542180818,2476.924906962992,-831.852987533305,-16.607139520110994
0.015,2980.3330836998584,-1000.5608263187512,634.245463679004,3597.904940915709,-850.4813025899123,999.1803699741932,2475.2551575578705,-831.8531427370332,-16.606955717042545
0.02,2978.6499421718504,-1000.6005736280052,634.2471309909195,3596.236150388672,-850.5732584382613,999.1808847772957,2473.5853838318512,-831.8532976548132,-16.606772254120003
0.025,2976.9667992489367,-1000.6402419555509,634.2487952298394,3594.567330969002,-850.6650368852664,999.1813986311668,2471.915585816838,-831.853452287784,-16.60658912998597
0.030000000000000002,2975.2836549394738,-1000.6798314588943,634.2504564035801,3592.8984825248535,-850.7566381939232,999.1819115382032,2470.245763555206,-831.8536066366676,-16.60640634377633
0.035,2973.600509248619,-1000.7193422033425,634.2521144961571,3591.229605093962,-850.8480624632722,999.1824234934498,2468.5759170353926,-831.853760699976,-16.60622389724557
0.04,2971.917362186983,-1000.7587743469775,634.2537695087564,3589.5606985157856,-850.9393099341336,999.1829344972581,2466.9060462957723,-831.8539144778148,-16.606041790259567
0.045,2970.2342137575274,-1000.7981279096655,634.2554214604418,3587.891762949066,-851.0303807178576,999.1834445554945,2465.236151344115,-831.8540679719515,-16.60586002071598
0.049999999999999996,2968.5510639619138,-1000.8374028570496,634.2570703480544,3586.222798620913,-851.1212748030289,999.1839536671611,2463.5662321488644,-831.8542211820903,-16.605678588957364
0.05499999999999999,2966.8679128067447,-1000.8765994252634,634.2587161722759,3584.5538052804627,-851.2119925590839,999.1844618324567,2461.8962887671255,-831.8543741082898,-16.605497494905574
0.05999999999999999,2965.184760292137,-1000.9157175693772,634.2603589251157,3582.884783255787,-851.3025339856263,999.1849690488891,2460.2263211579934,-831.854526749805,-16.605316739434322
0.06499999999999999,2963.5016064178017,-1000.9547572312503,634.2619986042198,3581.215732846009,-851.3928990526299,999.1854753157049,2458.5563292818692,-831.854679106415,-16.605136322796817
0.06999999999999999,2961.8184511954964,-1000.9937185952698,634.2636352139508,3579.5466539340346,-851.4830880788114,999.1859806342366,2456.88631318958,-831.8548311785214,-16.60495624450926
0.075,2960.1352946257625,-1001.0326016522913,634.2652687580609,3577.877546737045,-851.5731011141843,999.1864850056178,2455.2162728630024,-831.8549829664706,-16.60477650415321
0.08,2958.4521367074185,-1001.0714063122076,634.26689923756,3576.208411680886,-851.6629381188147,999.1869884301278,2453.5462082556596,-831.8551344703545,-16.604597101610484
0.085,2956.768977441665,-1001.1101325562671,634.2685266482068,3574.539248995012,-851.7525991142506,999.187490906428,2451.8761193393525,-831.855285689778,-16.604418037341393
0.09000000000000001,2955.0858168328486,-1001.1487804455045,634.2701509932264,3572.8700587783906,-851.8420842484693,999.1879924354894,2450.2060061200896,-831.8554366250382,-16.604239310985502
0.09500000000000001,2953.402654878241,-1001.1873499375162,634.2717722636164,3571.2008414258885,-851.9313935537457,999.1884930144954,2448.535868554094,-831.8555872752984,-16.604060923525548
0.10000000000000002,2951.71949157877,-1001.2258409993229,634.2733904504291,3569.531597197643,-852.020527026804,999.1889926406492,2446.865706604117,-831.8557376397265,-16.60388287593876
0.10500000000000002,2950.036326935234,-1001.2642535984737,634.2750055596766,3567.8623263653153,-852.1094846952255,999.1894913157713,2445.1955202478125,-831.8558877188804,-16.60370516755594
0.11000000000000003,2948.3531609472325,-1001.3025876882527,634.2766175979039,3566.193029262598,-852.1982665831272,999.1899890418428,2443.5253094579703,-831.8560375133684,-16.60352779764843
0.11500000000000003,2946.6699936149744,-1001.3408432273648,634.2782265601575,3564.5237061573166,-852.2868726802961,999.1904858172949,2441.855074198194,-831.8561870227306,-16.603350766752918
0.12000000000000004,2944.9868249363517,-1001.379020145392,634.2798324333286,3562.8543574643013,-852.3753029620417,999.1909816380318,2440.18481441306,-831.8563362457504,-16.603174076302007
0.12500000000000003,2943.3036549097283,-1001.4171183732589,634.2814352138472,3561.184983523142,-852.4635573921038,999.1914765029045,2438.5145300575014,-831.856485182097,-16.6029977266788
0.13000000000000003,2941.620483536013,-1001.455137835205,634.2830349016433,3559.5155845802383,-852.551635887624,999.1919704118466,2436.844221090506,-831.8566338317653,-16.602821717881607
0.13500000000000004,2939.9373108149625,-1001.4930784638394,634.2846315030359,3557.846161027395,-852.6395384531752,999.192463366757,2435.1738874787457,-831.8567821953447,-16.6026460492043
0.14000000000000004,2938.2541367464005,-1001.5309402224967,634.2862250200335,3556.176713163747,-852.727265113527,999.1929553682063,2433.5035291938143,-831.8569302730236,-16.60247072041549
0.14500000000000005,2936.570961328602,-1001.5687230268451,634.2878154261101,3554.507241364584,-852.8148157772681,999.1934464079457,2431.833146163287,-831.8570780623405,-16.60229573442239
0.15000000000000005,2934.8877845569946,-1001.6064267454924,634.2894027250226,3552.83774607487,-852.9021903340346,999.1939364870724,2430.162738328007,-831.857225563648,-16.602121090798807
0.15500000000000005,2933.2046064316405,-1001.6440513185373,634.290986925451,3551.1682274735226,-852.9893887228596,999.194425608217,2428.492305659573,-831.8573727777547,-16.601946788579095
