t,theta1,omegaz1
0.0,0.0,0.0
0.01,6.514378074600399e-6,0.0006514378074600398
0.02,1.9248228115506596e-5,0.0012733850040906195
0.03,3.7920317968495e-5,0.0018672089852988405
0.04,6.226202458065605e-5,0.002434170661216106
0.05,9.201630382758127e-5,0.0029754279246925214
0.060000000000000005,0.00012693668116011493,0.003492037733253368
0.07,0.00016678626398148382,0.00398495828213689
0.08,0.00021133679368767435,0.004455052970619054
0.09,0.00026036777432490537,0.004903098063723104
0.09999999999999999,0.0003136657340467153,0.005329795972180993
0.10999999999999999,0.00037102369157379725,0.005735795752708192
0.11999999999999998,0.00043224090786332626,0.006121721628952899
0.12999999999999998,0.000497122997655568,0.006488208979224176
0.13999999999999999,0.0005654824228854341,0.006835942522986614
0.15,0.0006371383366740161,0.007165591378858199
0.16,0.0007119154109579205,0.007477707428390435
0.17,0.0007896435162581515,0.007772810530023095
0.18000000000000002,0.0008701575028270703,0.00805139865689188
0.19000000000000003,0.0009532970064811494,0.008313950365407904
0.20000000000000004,0.0010389062764153063,0.008560926993415692
0.21000000000000005,0.001126834022558272,0.008792774614296577
0.22000000000000006,0.0012169332802625444,0.009009925770427238
0.23000000000000007,0.0013090613001222222,0.009212801985967784
0.24000000000000007,0.0014030799157262813,0.009401861560405898
0.25000000000000006,0.0014988561384700007,0.009577622274371932
0.26000000000000006,0.0015962617468062612,0.009740560833626049
0.2700000000000001,0.0016951728340434712,0.009891108723721004
0.2800000000000001,0.0017954694194898364,0.010029658544636518
0.2900000000000001,0.001897035117602442,0.010156569811260556
0.3000000000000001,0.001999756860001299,0.010272174239885716
0.3100000000000001,0.0021035246656307695,0.010376780562947033
0.3200000000000001,0.0022082314548353904,0.010470678920462087
0.3300000000000001,0.0023137729035737067,0.010554144873831647
0.34000000000000014,0.002420047334372459,0.010627443079875221
0.35000000000000014,0.0025269556408990474,0.010690830652658866
0.36000000000000015,0.0026344012431928107,0.010744560229376345
0.37000000000000016,0.002742290070646371,0.010788882745355992
0.38000000000000017,0.0028505305697770485,0.010824049913067756
0.3900000000000002,0.002959033733692939,0.010850316391589076
0.4000000000000002,0.003067713149963919,0.010867941627097992
0.4100000000000002,0.0031764850633864534,0.010877191342253427
0.4200000000000002,0.0032852684499191636,0.010878338653271017
0.4300000000000002,0.0033939850979021993,0.010871664798303555
0.4400000000000002,0.0035025596925941315,0.010857459469193233
0.45000000000000023,0.003610919900095577,0.010836020750144528
0.46000000000000024,0.0037189964468987108,0.010807654680313404
0.47000000000000025,0.003826723191612156,0.010772674471344524
0.48000000000000026,0.003934037185852163,0.010731399424000691
0.49000000000000027,0.004040878721840154,0.010684153598799099
0.5000000000000002,0.004147191364869016,0.010631264302886193
0.5100000000000002,0.004252921969455153,0.010573060458613767
0.5200000000000002,0.004358020678638439,0.010509870918328548
0.5300000000000002,0.004462440906490182,0.0104420227851744
0.5400000000000003,0.004566139304410499,0.010369839792031672
0.5500000000000003,0.004669075712221551,0.0102936407811052
0.5600000000000003,0.004771213095383376,0.010213738316182547
0.5700000000000003,0.004872517469875106,0.010130437449172941
0.5800000000000003,0.004972957816404646,0.010044034652954089
0.5900000000000003,0.00507250598564767,0.009954816924302355
0.6000000000000003,0.005171136596187867,0.009863061054019726
0.6100000000000003,0.005268826926751399,0.009769033056353127
0.6200000000000003,0.005365556804214668,0.009672987746326857
0.6300000000000003,0.005461308488729504,0.009575168451483582
0.6400000000000003,0.005556066557164566,0.009475806843506265
0.6500000000000004,0.0056498177859148025,0.009375122875023631
0.6600000000000004,0.005742551033988256,0.00927332480734535
0.6700000000000004,0.005834257127145544,0.009170609315728783
0.6800000000000004,0.0059249287437443295,0.009067161659878527
0.6900000000000004,0.006014560302830289,0.00896315590859597
0.7000000000000004,0.006103147854917646,0.008858755208735676
0.7100000000000004,0.006190688975815896,0.008754112089824934
0.7200000000000004,0.0062771826637841215,0.00864936879682256
0.7300000000000004,0.006362629240229241,0.008544657644511925
0.7400000000000004,0.006447030254108562,0.008440101387932126
0.7500000000000004,0.006530388390149065,0.00833581360405028
0.7600000000000005,0.006612707380954812,0.008231899080574727
0.7700000000000005,0.006693991923038919,0.008128454208410655
0.7800000000000005,0.006774247596786701,0.008025567374778303
0.7900000000000005,0.006853480790331313,0.007923319354461106
0.8000000000000005,0.006931698627301663,0.007821783697034995
0.8100000000000005,0.007008908898384294,0.0077210271082631746
0.8200000000000005,0.007085119996625583,0.007621109824128908
0.8300000000000005,0.007160340856387886,0.007522085976230272
0.8400000000000005,0.00723458089586271,0.007424003947482375
0.8500000000000005,0.007307849963035371,0.007326906717266089
0.8600000000000005,0.0073801582849887274,0.007230832195335615
0.8700000000000006,0.007451516420428228,0.0071358135439500035
0.8800000000000006,0.007521935215306531,0.00704187948783031
0.8900000000000006,0.007591425761423189,0.0069490546116658435
0.9000000000000006,0.0076599993578732,0.006857359645001064
0.9100000000000006,0.00772766747521751,0.006766811734430997
0.9200000000000006,0.007794441722248692,0.006677424703118193
0.9300000000000006,0.00786033381522588,0.006589209297718886
0.9400000000000006,0.007925355549454593,0.0065021734228712
0.9500000000000006,0.007989518773089142,0.0064163223634548655
0.9600000000000006,0.008052835363037941,0.0063316589948799245
0.9700000000000006,0.008115317202854966,0.006248183981702455
0.9800000000000006,0.008176976162503954,0.006165895964898709
0.9900000000000007,0.00823782407988552,0.006084791738156571
1.0000000000000007,0.008297872744021158,0.0060048664135639715
