Time,sol_1,sol_2,sol_3,sol_4,sol_5,sol_6,sol_7,sol_8,sol_9,sol_10,sol_11,sol_12,sol_13,sol_14,sol_15,ex_1,ex_2
0.0,1.0,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017218138070953393,1.0,1.0989893209247927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5525079749188961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025221423649472397,1.0,1.0985783195639844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.46603301699208965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003865478658595304,1.0,1.098108761478899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.21311521409780218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004812124283314681,1.0,1.0980139252850192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015760900995382958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005525276818777789,1.0,1.0980840551468984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.179136702624875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006660375106773499,1.0,1.0984173952892216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.395887431590717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007632005485124921,1.0,1.0988638587992865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5110194012145963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008745223286164951,1.0,1.0994665139893498,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.558210755586004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009814946280762585,1.0,1.1000625711981589,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5540136964019934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010806564838696759,1.0,1.1006075680456144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5413743016716002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012032886718214762,1.0,1.1012310282139492,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45891211426260486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01392090086568542,1.0,1.1018276302153458,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1386982698910191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014401093114223808,1.0,1.101868945841012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032719267524415147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015212559530824381,1.0,1.1018254508862333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.13765455661284398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015704103948435976,1.0,1.1017340209819213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.23288912437654455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016695799703770574,1.0,1.101420971707422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.38897259578870025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
