x1,x2,x3,x4,x5,x6,x7
-1.0,0.0,0.0,-2.383980521369085e-39,0.0,-2.1360609509529316e-23,2.0
0.0,-1.0,0.0,-2.0,2.1360609509529316e-23,0.0,-2.383980521369085e-39
0.0,0.0,-1.0,-2.1360609509529316e-23,-2.0,2.383980521369085e-39,0.0
0.0,0.0,0.0,1.0,1.0680304754764658e-23,0.0,-1.1919902606845425e-39
