x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
1.0021886851135162,0.0,0.0,-1.226327686688702e-8,0.0,0.0,-0.0003501896181626037,-0.0021886851135162733,0.0,0.0,0.0,0.0,0.0,8.754740454065093e-5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999943969661094,0.0,0.0
0.0,1.0021886851135162,0.0,0.0003501896181626037,0.0,0.0,-1.226327686688702e-8,0.0,-0.0021886851135162733,0.0,-8.754740454065093e-5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999990189378,0.0,0.0
0.0,0.0,1.0021886851135162,0.0,0.0003501896181626037,1.226327686688702e-8,0.0,0.0,0.0,-0.0021886851135162733,0.0,-8.754740454065093e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.10247522203884188,0.0,0.0
-1.226327686688702e-8,0.0003501896181626037,0.0,1.0000560303389403,7.871490838933198e-8,0.0,-3.501699969196167e-5,1.226327686688702e-8,-0.0003501896181626037,0.0,-1.4007584726504149e-5,0.0,0.0,-4.905310746754808e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02879943971230793,1.0,0.0
0.0,0.0,0.0003501896181626037,7.871490838933198e-8,0.9999299620764018,3.5018961816260374e-5,0.0,0.0,0.0,-0.0003501896181626037,0.0,-1.4007584726504149e-5,0.0,0.0,0.0,0.0,7.003792363252075e-5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0163960355262147,0.0,0.0
0.0,0.0,1.226327686688702e-8,0.0,3.5018961816260374e-5,1.0000000000000344,-7.185023266220947e-5,0.0,0.0,-1.226327686688702e-8,0.0,-4.905310746754808e-10,0.0,0.0,0.0,0.0,2.0,7.003792363252075e-5,0.0,0.0,0.0,0.0,0.0,0.0,-5.741721420305612e-7,0.0,0.0
-0.0003501896181626037,-1.226327686688702e-8,0.0,-3.501699969196167e-5,0.0,-7.185023266220947e-5,0.9999299620764706,0.0003501896181626037,1.226327686688702e-8,0.0,4.905310746754808e-10,0.0,0.0,-1.4007584726504149e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016000112060677262,3.5018961816260374e-5,0.0
-0.0021886851135162733,0.0,0.0,1.226327686688702e-8,0.0,0.0,0.0003501896181626037,1.0021886851135162,0.0,0.0,0.0,0.0,0.0,-8.754740454065093e-5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0999943969661094,0.0,0.0
0.0,-0.0021886851135162733,0.0,-0.0003501896181626037,0.0,0.0,1.226327686688702e-8,0.0,1.0021886851135162,0.0,8.754740454065093e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.17999999990189378,0.0,0.0
0.0,0.0,-0.0021886851135162733,0.0,-0.0003501896181626037,-1.226327686688702e-8,0.0,0.0,0.0,1.0021886851135162,0.0,8.754740454065093e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10247522203884188,0.0,0.0
0.0,-8.754740454065093e-5,0.0,-1.4007584726504149e-5,0.0,0.0,4.905310746754808e-10,0.0,8.754740454065093e-5,0.0,1.0000035018961901,-1.9678727097332995e-8,0.0,8.754249922990417e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007199999996075751,0.0,1.0
0.0,0.0,-8.754740454065093e-5,0.0,-1.4007584726504149e-5,-4.905310746754808e-10,0.0,0.0,0.0,8.754740454065093e-5,-1.9678727097332995e-8,1.0000350189618077,-8.754249922990417e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.004099008881553675,0.0,0.0
