t,x1,y1,z1,p1_1,p1_2,p1_3,p1_4
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.01070897828961876,1.0,0.9999999758556036,-0.00021974608503457093,0.9999999969819504,-5.4936521537524305e-5,5.4936521313642994e-5,-6.0360990759057925e-9
0.016497438785215743,1.0,0.9999998674188273,-0.0005149387567275489,0.9999999834273532,-0.0001287346927400923,0.0001287346898927251,-3.3145293339595587e-8
0.02549864575632083,1.0,0.9999992723693797,-0.001206341690196233,0.9999999090461682,-0.00030158546826887636,0.0003015854316920698,-1.819076605659939e-7
0.03361133732869966,1.0,0.9999978785460005,-0.002059830843315209,0.9999997348182148,-0.0005149579384270308,0.0005149577563474334,-5.303635467000634e-7
0.04311275135876626,1.0,0.9999944850528253,-0.0033211238368596034,0.9999993106313655,-0.0008302819131682299,0.0008302811500043228,-1.3787371104337704e-6
0.052815776847968364,1.0,0.9999880760630366,-0.004883413906836321,0.9999985095067687,-0.0012208565095122648,0.0012208540832674276,-2.980985721797421e-6
0.06340133087947186,1.0,0.9999763076228738,-0.0068836176963987415,0.9999970384484738,-0.0017209129184105841,0.001720906122954054,-5.923100128647239e-6
0.07458607419154256,1.0,0.9999566631909504,-0.009309765826770995,0.9999945828841961,-0.0023274624703510595,0.0023274456593927397,-1.0834221825770929e-5
0.08663294811307373,1.0,0.9999248886088441,-0.012256310228544258,0.9999906110320287,-0.003064125505830988,0.003064087146752437,-1.8777906557736205e-5
0.09955243364790743,1.0,0.9998756332558298,-0.015770796468711473,0.9999844540361384,-0.003942801276337235,0.003942719548578624,-3.109184716219724e-5
0.11353312271767915,1.0,0.9998009208056344,-0.01995291348430253,0.9999751147910605,-0.004988435272759325,0.0049882697500145895,-4.977021144765273e-5
0.1287279190847393,1.0,0.9996898274273768,-0.024904797510862466,0.9999612276767494,-0.006226601758002572,0.006226279849535313,-7.754414537850276e-5
0.1453988770794181,1.0,0.9995262641192498,-0.030777383540283365,0.9999407812613842,-0.007695105415962037,0.00769449777902604,-0.00011843630819082112
0.1638962909398989,1.0,0.9992863070423197,-0.03777401965910441,0.9999107844002624,-0.009444909415451622,0.009443785780848079,-0.00017842854603443767
0.1847701648838564,1.0,0.9989320052958265,-0.046204424057492116,0.9998664917486935,-0.011553677173051816,0.011551620152769412,-0.0002670105601244087
0.20860052684466052,1.0,0.9984066110173023,-0.05642906246685515,0.9998008065346304,-0.014111951464699186,0.014108202532461376,-0.00039837370139096467
0.2342080737397268,1.0,0.9976837947145741,-0.06802239184120928,0.9997104324038301,-0.01701381116561793,0.01700723995442849,-0.0005791072322897712
0.26092656935262093,1.0,0.9967402136939709,-0.08067804196331917,0.9995924436305469,-0.02018322515448575,0.020172251902793353,-0.000815057342911958
0.2890839288538764,1.0,0.9955225819881933,-0.09452401193383929,0.999440165963413,-0.023653083696885426,0.02363541576211231,-0.001119563527648534
0.31866865498296115,1.0,0.9939838232518381,-0.109526979482942,0.9992476947354587,-0.027416143508587343,0.02738861755409025,-0.0015044216947010262
0.3498862774586763,1.0,0.9920609484710766,-0.12575800050530264,0.9990071252231559,-0.03149165852446448,0.031449917705172664,-0.001985420539689566
0.38285170785691136,1.0,0.9896880181094494,-0.14323975372280703,0.9987101694769918,-0.03588717474771397,0.035825358559144094,-0.0025791055839414086
0.41775302031914413,1.0,0.986786036146834,-0.16202876034470742,0.998346886113457,-0.04061926947845796,0.04052955547716817,-0.003305314932321337
0.4547592525614984,1.0,0.983267857559811,-0.18216564082063458,0.9979062862861529,-0.04570118455157283,0.04557327387437989,-0.0041859623277517135
0.4940633064037076,1.0,0.9790342295235043,-0.20369579754430714,0.9973758274908148,-0.05114817817019838,0.05096863462897235,-0.005246041930857166
0.5358484909561819,1.0,0.9739765159816527,-0.22664895093917206,0.9967417409326693,-0.05697252716318455,0.05672401963300471,-0.006512964706615213
0.5802920841731709,1.0,0.9679770963729665,-0.2510385263158003,0.9959890644157103,-0.06318352728473224,0.06284394619787101,-0.008016481222980152
0.6275456114087463,1.0,0.9609135704306244,-0.27684853464751424,0.9951021492783911,-0.0697842957332979,0.06932579967408216,-0.009787655150411136
0.6777215051353648,1.0,0.9526641697439246,-0.30402463858192574,0.9940653173670816,-0.07676955199979439,0.07615759766169698,-0.011857536060332362
0.7308764622233872,1.0,0.9431156862856358,-0.33246474053051717,0.9928638353332321,-0.08412314535653508,0.08331560703696161,-0.014255199272647486
0.7870012382459248,1.0,0.9321722795071571,-0.36201497621157963,0.9914850048990209,-0.09181678905430693,0.09076328292780092,-0.017005557750657152
0.846016599005893,1.0,0.9197642978623803,-0.39247119431393485,0.9899192652708811,-0.0998100125104165,0.09845154886077376,-0.020127156496021006
0.9077802409900655,1.0,0.905854869058512,-0.4235881945188895,0.9881610289606657,-0.10805195726694884,0.10632099863504722,-0.023630508276898415
0.9721026031665495,1.0,0.8904430422545736,-0.45509470576816524,0.9862090987325741,-0.11648458702019225,0.1143055312653331,-0.027517275190742846
1.038768437968974,1.0,0.8735629181266669,-0.48671124007836786,0.9840665920478882,-0.12504668358683327,0.12233672095053949,-0.03178044130872923
1.0525264665305945,1.0,0.8699731875452553,-0.49309903281445644,0.9836103384682082,-0.1267898747941344,0.1239618201076848,-0.03268787658973738
1.0613976139973338,1.0,0.8676402729307877,-0.49719247786046156,0.9833137070800002,-0.1279094361498908,0.12500368213139082,-0.03327776260229976
1.0659180133654087,1.0,0.8664460920571901,-0.49927064086801787,0.9831618300674626,-0.12847857081717956,0.12553275526324767,-0.033579763487293336
1.0668444617936643,1.0,0.8662008991552982,-0.4996959131120606,0.9831306431701577,-0.12859510092281765,0.12564103572235658,-0.03364177525567717
1.0671585818885692,1.0,0.8661177300171253,-0.4998400554475585,0.983120064376643,-0.12863460268134497,0.12567773734935953,-0.033662809883895264
1.0673570459098403,1.0,0.8660651739952502,-0.49993111292792825,0.9831133793919362,-0.12865955797779338,0.12570092270810243,-0.0336761021117189
1.0674703607875293,1.0,0.8660351635284593,-0.4999830985278935,0.9831095621198735,-0.12867380564258257,0.1257141595367203,-0.03368369224943424
1.0676700582527354,1.0,0.8659822808055736,-0.5000746870348897,0.9831028355042547,-0.12869890803910922,0.12573748039715713,-0.03369706720456404
1.0677591603591552,1.0,0.8659587186734239,-0.5001154874988094,0.9830998384152516,-0.128710090871867,0.12574786933592172,-0.03370302649575047
1.0679699399347802,1.0,0.8659032623682223,-0.500211498772031,0.9830927843688916,-0.12873640699454444,0.12577231663541974,-0.03371705245248196
1.0681814403784784,1.0,0.8658484111646095,-0.5003064382640097,0.9830858072393419,-0.12876243043118213,0.1257964912282364,-0.033730925436356377
1.0684346517571865,1.0,0.8657846182961684,-0.5004168242651924,0.9830776926555744,-0.12879268919526937,0.12582459924073794,-0.03374706003509814
1.0686856983996058,1.0,0.865724469927567,-0.5005208741458549,0.9830700415953937,-0.12882121244996786,0.12585109410930928,-0.033762272945720026
1.0689558030554598,1.0,0.8656646032694079,-0.5006244080493909,0.9830624263077137,-0.12884959554488623,0.1258774578292673,-0.03377741468706097
1.0692309555881685,1.0,0.8656103518215489,-0.5007182062887996,0.983055525244736,-0.12887531078303263,0.12590134267904116,-0.0337911362749291
1.069513472505825,1.0,0.8655633629884503,-0.500799428856681,0.9830495479826614,-0.1288975791912065,0.12592202540839242,-0.03380302101470672
1.0697982548656841,1.0,0.8655264659674083,-0.5008631948969685,0.9830448544330653,-0.1289150621790931,0.12593826306384107,-0.03381235329900736
1.0700844814938553,1.0,0.8655012472333425,-0.5009067720957223,0.983041646426724,-0.1289270101924269,0.12594935979872848,-0.033818731837094634
1.0703701280018367,1.0,0.8654888282833043,-0.5009282298014676,0.9830400666419492,-0.12893289355811163,0.12595482392108365,-0.03382187294956221
1.0706545490548058,1.0,0.8654895479606236,-0.5009269863638582,0.983040158190444,-0.12893255262551137,0.12595450728419372,-0.033821690922206625
1.0709372549504381,1.0,0.8655031531708057,-0.5009034788754062,0.9830418888762128,-0.1289261072479236,0.12594852119372718,-0.033818249770560894
1.0712201058616573,1.0,0.8655291100873913,-0.5008586256528524,0.9830451907837211,-0.12891380939492372,0.125937099529108,-0.03381168452636997
1.0715023841661835,1.0,0.8655663854407133,-0.5007942049346068,0.9830499324579115,-0.12889614694908078,0.12592069517067253,-0.03380225655369632
1.0717847864962406,1.0,0.8656137466806283,-0.500712337435347,0.9830559570897528,-0.12887370177739366,0.12589984822435005,-0.03379027762567162
1.0720673677829717,1.0,0.8656696516103942,-0.5006156785245979,0.983063068480058,-0.1288472023568054,0.12587523494683542,-0.033776137835027385
1.07235047640811,1.0,0.8657324630470269,-0.500507048633581,0.9830710583487349,-0.1288174223790656,0.12584757361928844,-0.03376025129654153
1.072634199801631,1.0,0.8658004435790574,-0.5003894435388747,0.9830797056705857,-0.12878518351526572,0.12581762715583586,-0.03374305746945048
1.072918684686835,1.0,0.8658719215232782,-0.5002657482037864,0.9830887977875239,-0.12875127692941768,0.12578613022952193,-0.033724979180516285
1.0732048190001962,1.0,0.8659455838895306,-0.5001382299444903,0.9830981676745177,-0.1287163243415521,0.12575366021437234,-0.0337063485265914
1.0734004546414595,1.0,0.8659963007907181,-0.5000504077866503,0.9831046188333838,-0.1286922535324693,0.1257312982392493,-0.03369352130160188
1.0736037859630259,1.0,0.8660489638724806,-0.4999591938221208,0.9831113174983009,-0.12866725405206397,0.1257080727957996,-0.033680201914181
1.0737620437354158,1.0,0.8660898510317333,-0.4998883607892004,0.9831165182505881,-0.12864784116336467,0.12569003699343925,-0.033669860901012434
1.0753446214593163,1.0,0.8664937149367795,-0.4991879859291047,0.9831678872591058,-0.1284559247909614,0.12551171058404614,-0.033567719337247545
1.0804874154630508,1.0,0.8677444746579939,-0.4970105934968131,0.983326958385642,-0.12785964883490514,0.12495738125544292,-0.03325141217455525
1.0878751524302668,1.0,0.8693826558637943,-0.4941394550820559,0.9835352608863772,-0.12707424561127326,0.12422659354019983,-0.03283718300289644
1.0966493071122727,1.0,0.8710993888124683,-0.4911067686776209,0.9837535020950702,-0.1262456945958152,0.12345488077737847,-0.032403156701121115
1.107434169077234,1.0,0.8728933087471052,-0.48791113435669986,0.9839815016920337,-0.12537377164950014,0.1226419163124991,-0.03194968732999921
1.1198640930497596,1.0,0.8745637996560808,-0.48491046996053716,0.9841937643573505,-0.12455610405900196,0.12187874853691645,-0.03152748406622447
1.1341284647429337,1.0,0.8760056135924633,-0.4823009108117039,0.9843769315126351,-0.12384583452771909,0.12121520490894311,-0.03116312786280321
1.1500766486282965,1.0,0.8770775891178169,-0.48034873410766854,0.984513091568848,-0.12331498733593167,0.12071890903862303,-0.030892262809020403
1.16775002792434,1.0,0.8776726458513604,-0.4792606081250676,0.9845886659319854,-0.1230192807390668,0.1204423121953538,-0.03074191603576004
1.187083612633505,1.0,0.877692469132455,-0.4792243039533713,0.9845911834564659,-0.12300941704702076,0.12043308425326524,-0.030736907631644928
1.208069572339778,1.0,0.8770577404348412,-0.48038497470757063,0.9845105706099815,-0.123324838236856,0.12072812165833793,-0.03089727790559
1.2307986297419888,1.0,0.875695654938037,-0.48286346313919465,0.9843375575588061,-0.12399888558957833,0.1213582354875659,-0.03124145255743167
1.2552657299970107,1.0,0.8735453013771889,-0.4867428589235672,0.9840643535053258,-0.12505530067463783,0.12234476287279195,-0.031784893868352315
1.2815129062533837,1.0,0.8705522926160429,-0.49207591923305255,0.9836839575012644,-0.12651035739739425,0.12370147424640036,-0.03254146689536261
1.3095454384734282,1.0,0.8666745874110366,-0.4988738961388701,0.9831908922168441,-0.128369876984194,0.12543174191168893,-0.03352197592538598
1.3109210485857283,1.0,0.8664678670366217,-0.4992328516035816,0.9831645996503339,-0.1284682170657669,0.1255231337600905,-0.033574256436471446
1.3134344565658327,1.0,0.8660864021075848,-0.4998943376732984,0.9831160795577376,-0.1286494791527986,0.12569155884496486,-0.03367073318323263
1.313728946091207,1.0,0.8660413908350039,-0.49997231335058356,0.9831103542234821,-0.1286708496824097,0.12571141335365937,-0.03368211725591944
1.3140900635500927,1.0,0.8659861272804483,-0.5000680274903989,0.9831033247738826,-0.12869708272443098,0.12573578469104937,-0.033696094358205315
1.3142487192285068,1.0,0.8659619122721424,-0.5001099591649436,0.9831002446408977,-0.12870857557553295,0.1257464616620072,-0.03370221877168567
1.3145973503294703,1.0,0.8659093742186359,-0.5002009200370636,0.9830935618006005,-0.12873350732550123,0.12576962296434052,-0.03371550664136027
1.3149284724318848,1.0,0.8658612350139069,-0.5002842456736878,0.983087438452079,-0.1287563471772996,0.1257908402726102,-0.033727682013956636
1.3152607737681832,1.0,0.8658158944172347,-0.5003627101883796,0.9830816710523868,-0.12877785533686917,0.12581081992785775,-0.03373914961056092
1.3156072876379066,1.0,0.8657732237470491,-0.5004365392523278,0.9830762432394304,-0.12879809353017466,0.1258296193687093,-0.03374994196899203
1.3159581495150086,1.0,0.8657363400220777,-0.5005003440009409,0.9830715515146733,-0.12881558436002752,0.12584586636828232,-0.033759270714091814
1.3163132445821704,1.0,0.8657069621291271,-0.5005511567310296,0.9830678145383575,-0.12882951402913928,0.12585880519390222,-0.033766701083241986
1.3166686492006439,1.0,0.8656868093443734,-0.5005860095073768,0.9830652510212178,-0.1288390686567499,0.1258676800501372,-0.033771798214071586
1.3170233812715761,1.0,0.8656768017251097,-0.5006033157562009,0.983063978008271,-0.12884381308917844,0.12587208689614449,-0.033774329388519965
1.3173762371705775,1.0,0.8656772947734661,-0.5006024631467222,0.9830640407262244,-0.12884357934903073,0.12587186978834386,-0.033774204684332045
1.3177272129710484,1.0,0.8656880768024547,-0.5005838176376557,0.9830654122473226,-0.1288384677673654,0.1258671219150382,-0.03377147764270615
1.3180780746423877,1.0,0.8657086088484494,-0.5005483087256093,0.9830680240075469,-0.12882873327548558,0.12585807998339177,-0.03376628458812025
1.3184287731382398,1.0,0.8657379590020351,-0.5004975435995133,0.9830717574544969,-0.1288148166732741,0.12584515328267815,-0.033758861235989056
1.3187803255485662,1.0,0.8657749827886824,-0.5004334960683567,0.9830764669944675,-0.12879725931140915,0.12582884446599105,-0.033749497067464954
1.3191331724925224,1.0,0.8658182994572926,-0.5003585485815395,0.9830819769784485,-0.1287767145654425,0.12580976024182383,-0.03373854132374632
1.319487772119083,1.0,0.865866420162281,-0.5002752714785329,0.9830880980094274,-0.12875388727695283,0.1257885551548161,-0.03372637058304252
1.319844136929213,1.0,0.865917789746091,-0.5001863514957672,0.9830946322589521,-0.12872951411985561,0.12576591337449547,-0.033713378190571734
1.3202025955973944,1.0,0.865971012892155,-0.5000942007820117,0.9831014022349949,-0.12870425640907426,0.12574244913448943,-0.03369991705859494
1.3204192195849078,1.0,0.8660034110889037,-0.5000380953587273,0.983105523256756,-0.12868887889618383,0.1257281631610695,-0.03369172297849896
1.3206836239818467,1.0,0.8660428689228712,-0.4999697531034227,0.9831105422336417,-0.12867014798983586,0.1257107614498991,-0.03368174342287881
1.3208841935780187,1.0,0.8660726744554317,-0.4999181206900125,0.9831143334345719,-0.12865599720373952,0.1256976145663907,-0.03367420512153376
1.322889889539739,1.0,0.8663646430127927,-0.4994119644057011,0.9831514704100495,-0.12851729285809646,0.12556873783217937,-0.03360036261940697
1.3289308142316458,1.0,0.8671785743827941,-0.49799731430071464,0.9832549907518418,-0.12812979135225372,0.12520857171804398,-0.033394519430815686
1.337416514819312,1.0,0.8681628557663782,-0.4962794181486416,0.983380161918098,-0.12765954307589142,0.12477125896771127,-0.03314561486322016
1.3475609767323122,1.0,0.8691104834930683,-0.4946180067499279,0.9835006560799218,-0.12720508685278925,0.12434838633560069,-0.032906000059536825
1.35994645661644,1.0,0.8699543075014025,-0.4931323434027928,0.9836079382377744,-0.12679897731026946,0.12397029683664115,-0.03269264997646465
1.3742286283366847,1.0,0.8705362871717139,-0.49210423501302863,0.9836819228795284,-0.12651809167794564,0.12370867929501435,-0.032545513296811594
1.390569965590586,1.0,0.8707375075408973,-0.491748104757469,0.9837075018298224,-0.1264208232052284,0.12361806192600527,-0.03249464235074434
1.4088070609313172,1.0,0.8704375541072409,-0.49227885406675304,0.9836693717683711,-0.1265657900449537,0.12375311211867701,-0.03257047454603951
1.4290052602975694,1.0,0.8695317168105181,-0.49387710964868975,0.9835542124033,-0.12700252872911982,0.12415982795476267,-0.032799494592066915
1.4511348906043258,1.0,0.8679285184372462,-0.49668913124535785,0.983350362729999,-0.12777166422982303,0.12487555089009547,-0.03320487196492669
1.4559478267948736,1.0,0.8675029293133368,-0.49743207968952924,0.9832962408468342,-0.12797502835509342,0.12506467678489452,-0.033312494286622814
1.4591305138378972,1.0,0.8672072664657005,-0.4979473499262588,0.9832586397649636,-0.12811610938048443,0.12519585172068382,-0.0333872634763831
1.4680429466569505,1.0,0.8663209449941012,-0.49948776429498476,0.9831459123309771,-0.12853806264978296,0.12558803751692135,-0.03361141426767634
1.4704887669924611,1.0,0.8660630737247744,-0.4999347545184835,0.9831131122457328,-0.12866055590683778,0.12570184993533473,-0.03367663329520932
1.4708131129208468,1.0,0.8660284135567522,-0.4999947933341959,0.9831087035382245,-0.12867701076685006,0.12571713732341516,-0.03368539942186762
1.4711512250288983,1.0,0.8659921953789812,-0.5000575206870278,0.9831040966327091,-0.12869420293479716,0.12573310936553012,-0.033694559624038195
1.471302045341654,1.0,0.8659760726355032,-0.5000854407774293,0.983102045833252,-0.1287018553597468,0.1257402185865246,-0.03369863735369661
1.4716957937848545,1.0,0.8659345026429761,-0.5001574188112481,0.9830967581443708,-0.12872158375174883,0.12575854624808377,-0.03370915117423607
1.4720293366972312,1.0,0.8659005111043052,-0.5002162645623949,0.9830924344100963,-0.1287377131884001,0.12577353014078319,-0.03371774829275809
1.4723941213813319,1.0,0.8658655736632425,-0.500276738228588,0.9830879903359839,-0.12875428926248875,0.12578892862923288,-0.03372658467572714
1.4727677407622368,1.0,0.8658333128236357,-0.5003325702741382,0.98308388670931,-0.1287695934377263,0.1258031452875671,-0.03373474411691936
1.473155064883564,1.0,0.8658048624333624,-0.500381800891737,0.9830802677625564,-0.12878308839832475,0.12581568106440746,-0.033741939835425006
1.4735476391306868,1.0,0.8657824147122081,-0.5004206399187731,0.9830774123575158,-0.12879373504929825,0.1258255708293917,-0.03374761736219752
1.4739442260366558,1.0,0.8657672946873309,-0.5004467983074331,0.9830754890484712,-0.1288009057536276,0.1258322316823077,-0.03375144155844922
1.474341610775784,1.0,0.8657604783747385,-0.5004585902704766,0.983074621993344,-0.12880413826839515,0.12583523433899516,-0.033753165559759546
1.4747390255562647,1.0,0.8657623231034501,-0.5004553990022393,0.9830748566483817,-0.12880326344850246,0.1258344217273233,-0.03375269898556844
1.4751361652333508,1.0,0.865772704126368,-0.5004374399368077,0.9830761771445767,-0.1287983403673629,0.125829848707638,-0.033750073388335605
1.4755343841567772,1.0,0.8657911427952639,-0.5004055391009392,0.9830785225921009,-0.12878959555301522,0.125821725632713,-0.03374540983489597
1.475933876800644,1.0,0.865816800327341,-0.5003611443561752,0.9830817862883863,-0.12877742604933115,0.12581042120658686,-0.033738920481728246
1.4763356453774004,1.0,0.8658486135009782,-0.5003060913219294,0.9830858329804785,-0.12876233521869387,0.12579640287461077,-0.03373087425247918
1.4767401626850418,1.0,0.865885306548816,-0.5002425835763966,0.9830905003795495,-0.12874492727970832,0.12578023177545133,-0.03372159382771606
1.4771476700471822,1.0,0.865925493207973,-0.5001730168030084,0.9830956121434764,-0.1287258590697882,0.12576251795674961,-0.033711429832127285
1.477557892395196,1.0,0.8659677636358373,-0.5000998289080306,0.9831009889338188,-0.12870579893664674,0.1257438822057164,-0.03370073885016919
1.4779729748730208,1.0,0.8660111343887815,-0.5000247210388802,0.9831065056532826,-0.12868521322114373,0.1257247576969072,-0.03368976961769112
1.4782249836012438,1.0,0.8660373807264339,-0.49997926129283415,0.9831098441472872,-0.12867275384987825,0.1257131824681639,-0.03368313147429026
1.4784506917607014,1.0,0.8660607585748425,-0.49993876524825775,0.9831128177638476,-0.12866165511187924,0.12570287116482146,-0.03367721883361447
1.4807077733552771,1.0,0.8662877778138709,-0.49954528581403274,0.9831416936767567,-0.12855382451310218,0.12560268336841574,-0.033619802597548785
1.487218288873296,1.0,0.8668752832638805,-0.49852507450900013,0.9832164178284285,-0.1282743277823151,0.12534293289612372,-0.0334712199680572
1.4962464851749402,1.0,0.8675316007294216,-0.49738207496203796,0.9832998870702627,-0.12796133870936754,0.12505194713736076,-0.03330524377248795
1.5070772220382407,1.0,0.8680911477281144,-0.4964048409562622,0.9833710433653113,-0.12769386384072548,0.12480318478106495,-0.033163747606158686
1.5202440922492417,1.0,0.868461872130022,-0.4957559719290674,0.9834181845602045,-0.1275163265617749,0.12463802173857089,-0.033070004116256886
1.535422058454421,1.0,0.868504075667421,-0.49568203293764146,0.9834235509986381,-0.12749609922133892,0.12461920189780845,-0.03305933248632533
1.5527438498319586,1.0,0.868096890620902,-0.4963947984499415,0.9833717736485257,-0.12769111570921113,0.1248006284904781,-0.033162295400258154
1.5721270254694275,1.0,0.8671262078717518,-0.4980884934290722,0.9832483308336253,-0.12815475991128075,0.1252317843415797,-0.03340776245716841
1.5764190968161849,1.0,0.8668437388325464,-0.49857992354809677,0.983212405880663,-0.12828935101841482,0.12535689712545478,-0.03347919748671401
1.5792921213497542,1.0,0.8666417006976562,-0.4989310276645152,0.9831867094407845,-0.12838552769910488,0.12544628767976473,-0.03353029304996884
1.5811240823570123,1.0,0.8665075429718411,-0.4991639868323819,0.9831696460559514,-0.12844934944627107,0.12550560021345214,-0.033564222130928044
1.583197932349978,1.0,0.8663507293828022,-0.4994361035221749,0.983149700701728,-0.12852390700671604,0.125574883955747,-0.03360388149883921
1.584817732645709,1.0,0.8662246378777967,-0.4996547653703833,0.9831336626277762,-0.12858382480448888,0.12563055872176343,-0.03363577142030667
1.5862978741015177,1.0,0.8661066768264979,-0.4998592123778291,0.9831186584500611,-0.1286398526020553,0.12568261511874945,-0.03366560538867277
1.5869758116305683,1.0,0.866051780453794,-0.49995431933701834,0.9831116757674648,-0.12866591794243254,0.12570683161369461,-0.033679489542533754
1.5872150905887719,1.0,0.8660322751645606,-0.4999881060857591,0.9831091947304919,-0.12867517791485086,0.12571543457199655,-0.03368442275269304
1.5876065517335993,1.0,0.8660002360429206,-0.5000435971317337,0.9831051193988175,-0.12869038670421218,0.12572956404646107,-0.03369252599510573
1.5877790160295007,1.0,0.8659861228516845,-0.5000680382601035,0.9831033242149231,-0.12869708555873027,0.1257357874198138,-0.03369609547021838
1.5882104912609352,1.0,0.8659512107378425,-0.5001284919778896,0.9830988834139968,-0.12871365509443408,0.12575118063066107,-0.033704925379367964
1.5885930614947328,1.0,0.8659213591481408,-0.5001801751791538,0.9830950862921833,-0.12872782109779135,0.12576434068624365,-0.03371247541184247
1.588998316784453,1.0,0.8658917975864816,-0.5002313492262844,0.983091326046793,-0.1287418478599223,0.12577737115446253,-0.03371995211072185
1.5894173308018507,1.0,0.865864537048293,-0.5002785337826343,0.9830878584793834,-0.1287547813832898,0.12578938582834376,-0.03372684685325436
1.589848019187111,1.0,0.8658411901298713,-0.500318939638963,0.9830848887180931,-0.12876585704242946,0.12579967447086876,-0.0337327517754865
1.5902845783154251,1.0,0.8658234742862075,-0.500349597049325,0.9830826352312664,-0.12877426068279865,0.1258074808667198,-0.03373723248983451
1.5907242070694187,1.0,0.8658125926130473,-0.5003684266324944,0.9830812510604047,-0.12877942219996755,0.12581227551486035,-0.033739984700377784
1.591164464637236,1.0,0.8658092643538757,-0.5003741856476723,0.9830808276986964,-0.12878100085478764,0.12581374195627498,-0.03374082648965014
1.5916045250280817,1.0,0.8658136690049443,-0.5003665641041042,0.9830813879797425,-0.12877891164610364,0.12581180125179398,-0.033739712457431154
