Solver,autodiff,linsolve,abstol,reltol,initial_state,tspan,ΔE,Avg Time (s),All Times
QNDF_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.00015192182911549779,0.0018855,"[0.0019427, 0.0019012, 0.0017973, 0.0018551, 0.0018328, 0.0020349, 0.0019236, 0.0018311, 0.0017915, 0.0019448]"
KenCarp4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",8.303546818963503e-5,0.0015676400000000004,"[0.0014759, 0.0014622, 0.0018961, 0.0016245, 0.0014358, 0.0014782, 0.0013865, 0.0020379, 0.0014136, 0.0014657]"
Rodas4P_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",5.375602117052569e-7,0.0017794199999999999,"[0.0017882, 0.0018784, 0.0017961, 0.0016914, 0.0018784, 0.0017397, 0.0017271, 0.0016879, 0.0017035, 0.0019035]"
Kvaerno3_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.0005699620304397413,0.00423433,"[0.004571, 0.0040626, 0.0043271, 0.0043401, 0.0042424, 0.0041404, 0.0042146, 0.0042798, 0.0040876, 0.0040777]"
ESDIRK547L2SA2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-1.3691999241144392e-5,0.0033513300000000005,"[0.0032422, 0.003238, 0.0031699, 0.0032097, 0.0044622, 0.0032106, 0.0032136, 0.0031537, 0.0033998, 0.0032136]"
Kvaerno4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.4953014395895368e-5,0.00302324,"[0.0029745, 0.0029746, 0.0031474, 0.0030791, 0.0029156, 0.0029737, 0.0028498, 0.0032004, 0.0030646, 0.0030527]"
TRBDF2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.00024312314426813697,0.00297383,"[0.0033223, 0.0030236, 0.0029588, 0.0029156, 0.0027811, 0.0028307, 0.0033113, 0.0028915, 0.0028799, 0.0028235]"
Hairer42_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",7.310046114122892e-6,0.00409823,"[0.0042374, 0.0043015, 0.0039238, 0.0041177, 0.0040664, 0.0041067, 0.0039967, 0.0040501, 0.0042509, 0.0039311]"
SDIRK2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",8.948052461585365e-5,0.0126087,"[0.0120969, 0.0120327, 0.0139879, 0.0125941, 0.0141488, 0.0124349, 0.0119509, 0.01227, 0.0124913, 0.0120795]"
RosShamp4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.863297577815338e-6,0.0023108100000000004,"[0.0023225, 0.0023104, 0.0021609, 0.0022576, 0.0021576, 0.0024982, 0.002329, 0.0024191, 0.0023973, 0.0022555]"
KenCarp3_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.003923709251102581,0.004662129999999999,"[0.0024671, 0.0025021, 0.024484, 0.0025669, 0.0025607, 0.0025668, 0.0023595, 0.0023864, 0.0023344, 0.0023934]"
Rodas3P_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.697818395611118e-5,0.0053733900000000005,"[0.00542, 0.0053619, 0.0054429, 0.0054287, 0.0054124, 0.0053196, 0.0053639, 0.0052813, 0.0053959, 0.0053073]"
ESDIRK436L2SA2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-4.0101065182374107e-7,0.0036015199999999995,"[0.0037041, 0.0036756, 0.0036855, 0.0035035, 0.0035207, 0.0036631, 0.0036453, 0.0035496, 0.0035335, 0.0035343]"
Rodas4P2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",5.462771853204096e-7,0.0018334100000000002,"[0.0018555, 0.001725, 0.0017919, 0.0018295, 0.0017742, 0.0017212, 0.0019718, 0.0020455, 0.0018543, 0.0017652]"
ROS3PRL2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",7.677026574290369e-5,0.00438181,"[0.0042284, 0.0048945, 0.0043902, 0.0044318, 0.0043601, 0.0042486, 0.0040634, 0.0042137, 0.0046511, 0.0043363]"
Veldd4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",3.682927351422727e-7,0.0016652900000000003,"[0.0016783, 0.0016233, 0.0017256, 0.001749, 0.0017354, 0.0016224, 0.0015962, 0.0017014, 0.0015846, 0.0016367]"
Ros4LStab_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",3.765829394986042e-6,0.0026262,"[0.0027847, 0.0028803, 0.0025972, 0.0026048, 0.0025646, 0.0024977, 0.0027269, 0.0025595, 0.0025628, 0.0024835]"
QBDF_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.0001842179148766332,0.0022346300000000005,"[0.0021391, 0.0023091, 0.0021304, 0.0021213, 0.0020496, 0.0027285, 0.0020205, 0.0021454, 0.0024704, 0.002232]"
Trapezoid_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-1.600941192531069e-6,0.0068366799999999995,"[0.0066182, 0.0067319, 0.0065648, 0.0069484, 0.0067774, 0.0067541, 0.0072967, 0.0067402, 0.0071517, 0.0067834]"
GRK4A_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",1.3757569531924752e-6,0.0055946799999999994,"[0.0022812, 0.0022412, 0.0021177, 0.0020733, 0.0022875, 0.0024561, 0.0021808, 0.0023382, 0.0358652, 0.0021056]"
KenCarp47_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-0.00012961781247716742,0.00152733,"[0.0016663, 0.0013426, 0.0015275, 0.0017909, 0.0013178, 0.0012428, 0.0014378, 0.0014693, 0.0018065, 0.0016718]"
QNDF1_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.029793148325242103,0.0365592,"[0.0363418, 0.033954, 0.0353098, 0.0335488, 0.0351092, 0.0388498, 0.0508292, 0.033549, 0.0340123, 0.0340881]"
