t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.33999999999999997,1.1823654398528909e-19,0.1,0.12,0.10695182730685095,0.037872549642391624,0.09811718492088958,0.2139036546137019,-3.106381911673051e-18,-2.6462867317116174e-17,0.04473103042382702,3.90652987825078e-7,1.4419181000199315e-7,2.383179470162262e-14
0.37999999999999995,1.3568151389980374e-19,0.1,0.12,0.10785340835276161,0.03649511074523025,0.09765119145362867,0.21570681670552322,-3.631449393044826e-18,-2.5851940839129956e-17,0.045416554924533926,3.910556260426894e-7,1.441922617319215e-7,1.4309676199532075e-14
0.41999999999999993,1.531264838143184e-19,0.1,0.12,0.10876807166287682,0.03513359304929535,0.097134668658624,0.21753614332575358,-3.820668854745405e-18,-2.1659324943489242e-17,0.046039401678103345,3.915428486087578e-7,1.4419268405177316e-7,1.3684399296439777e-14
0.49999999999999994,1.8801642364334771e-19,0.1,0.12000000000000001,0.11063168114165275,0.03246472583892314,0.09595144916255463,0.22126336228330543,-5.289511554370589e-18,-1.1350207511128037e-17,0.04710036981412196,3.9278682942294737e-7,1.4420456599627808e-7,1.482821363083564e-14
0.58,2.188434810326832e-19,0.1,0.12000000000000002,0.11253288271895368,0.02987887014374963,0.0945706750311138,0.22506576543790724,-7.615770189950808e-18,4.568937993962477e-18,0.04791991187425271,3.943669420189935e-7,1.4421460292166162e-7,1.1592953411842064e-14
0.6599999999999999,2.472328089582023e-19,0.1,0.12000000000000004,0.11446211999748382,0.027389156243978398,0.09299606231882934,0.22892423999496753,-1.0337273416323428e-17,3.1662635361187046e-17,0.048502856828447544,3.962799584883537e-7,1.4422282705395294e-7,7.949708446199602e-15
0.7399999999999999,2.7562213688372142e-19,0.1,0.12000000000000005,0.11641000478812202,0.02500895011535784,0.09123198366620891,0.23282000957624394,-1.2632321727707814e-17,6.20855324700866e-17,0.04885277498758035,3.985219161004783e-7,1.4422927865418834e-7,1.6073816640492996e-14
0.8199999999999998,3.0401146480924055e-19,0.1,0.12000000000000006,0.11836726594620914,0.02275186363535608,0.08928357034130517,0.2367345318924182,-1.3949692782922228e-17,9.968894639113166e-17,0.04897194966815752,4.0108813203175225e-7,1.4423400151325622e-7,6.090188596221045e-15
0.8999999999999998,3.3240079273475967e-19,0.1,0.12000000000000008,0.12032469849668209,0.020631745075375175,0.08715682493064361,0.24064939699336413,-1.7026661287473155e-17,1.219677587143699e-16,0.04886141801033577,4.0397323681949646e-7,1.442370437746005e-7,7.492952827623738e-15
0.9999999999999998,3.678874526416586e-19,0.1,0.1200000000000001,0.12275773277730766,0.01819563235415951,0.08425837418223109,0.24551546555461531,-2.849465469855301e-17,1.5881860588416944e-16,0.04839996463452651,4.080790897171576e-7,1.4424014736359573e-7,1.6866890039538857e-14
1.0999999999999999,4.033741125485575e-19,0.1,0.12000000000000012,0.12515867068933095,0.016023254431737525,0.08110844329980169,0.25031734137866196,-5.340444073120757e-17,2.0324857556874338e-16,0.04757699890391154,4.1267560970990574e-7,1.4423745216323576e-7,6.62942422567027e-15
1.2,4.388607724554564e-19,0.1,0.12000000000000013,0.1275093385133,0.014142461364307038,0.07772630160025681,0.25501867702660014,-4.753581467284251e-17,2.4097155738951807e-16,0.046388352654304375,4.177500501354442e-7,1.442294173037482e-7,1.1450993658801984e-14
